up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,omie_page
CEVD381,P.E. VENTUM,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD383,P.E. LOMILLAS,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD384,FV BELINCHON 1,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD385,FV BELINCHON 2,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD386,FV BELINCHON 3,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD387,FV ORELLANA,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD395,SOLAR ALBACETE 1,RENOVALIA,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD396,SOLAR ALBACETE 2,RENOVALIA,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD397,FV CASA ANGEL REN,OVALIA,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD400,FV VALLECAS,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD401,FV. CARAVACA,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD405,CH AZANON,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,21
CEVD411,CH DUEROCANTO,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,21
CEVD412,CH EUGUI,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,21
CEVD413,CH EGUILLOR,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,21
CEVD414,AÑARBE-GECASA2,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,21
CEVD440,MORALAS,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD449,TALEGA,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD450,P.E. AGON2,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,21
CEVD452,FV. HITA,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD462,FV LUCAINENA,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD463,FV. RETAMALA,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD464,FV. RINCON,,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
CEVD465,FV. VALDEFUENTES,1,ENERGYA,VM,GENERACIÓN,(ACT. COMER. RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,21
