up_code,up_name_omie,legal_entity,ownership_pct,unit_type_omie,zone_omie,technology_omie,omie_page
NXVD564,UOF,SOLAR CACERES,2,NEXUS,ENERGÍA,(ACT. COMERCIALIZACIÓN RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,66
NXVD565,UOF,SOLAR ALSEMUR,1,NEXUS,ENERGÍA,(ACT. COMERCIALIZACIÓN RE) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,66
NXVD566,UOF SOLAR ALSEMUR2,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD567,UOF SOLAR ALSEMUR3,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD568,UOF SOLAR BARROS1,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD569,UOF SOLAR BARROS2,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD570,UOF SOLAR VALSEQUILLO,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD571,UOF EOLICA VALDEHIERRO,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,67
NXVD572,UOF SOLAR PISORACA 3,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD573,UOF SOLAR PISORACA 2,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD574,UOF SOLAR GRIJOTA 5,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD575,UOF SOLAR GRIJOTA 4,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD576,UOF HIBRIDA SUNRISE,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD577,UOF SOLAR FRAGA1,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD578,UOF SOLAR GUTERA,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD579,UOF SOLAR ALLIUM,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD580,UOF SOLAR VILLACAÑAS,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD581,UOF SOLAR EL BOYAL,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD582,UOF SOLAR CORVERA,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD583,UOF SOLAR BRAZATORTAS 1,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD586,UOF SOLAR LLIRIA,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD587,UOF SOLAR GRIJOTA 3,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD588,UOF SOLAR URRETXUKO,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD589,UOF SOLAR MARTIN,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD590,UOF SOLAR INIESTA,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD591,UOF SOLAR VILLAMECA I,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD592,UOF SOLAR VILLAMECA II,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD593,UOF SOLAR MAGASQUILLA,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD594,UOF SOLAR HUMILLADERO,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD595,UF SOLAR REBUSCO,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD596,UF SOLAR CONDECILLO,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
NXVD597,UOF SOLAR ERUELA,NEXUS ENERGÍA (,ACT.,C,OMERCIALIZACIÓN,R E) 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
OENV02,UN FISICA1,"OENEO ENERGY,L",DA,,,  100 GENERACION ZONA PORTUGUESA RE Tarifa CU R (uof),67
OPPRE01,REPRESENTACION FV,ESTRATEGIAS EL,ÉCTR,IC,AS INTEGRALES S.,A.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,67
PALOS1,C.C. PALOS 1,GAS NATURAL CO,MER,CI,ALIZADORA,  100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,67
PALOS2,C.C. PALOS 2,GAS NATURAL CO,MER,CI,ALIZADORA,  100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,67
PALOS3,C.C. PALOS 3,GAS NATURAL CO,MER,CI,ALIZADORA,  100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,67
PBCN1,C.C. PUERTO BARCELONA 1,GAS NATURAL CO,MER,CI,ALIZADORA,  100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,67
PBCN2,C.C. PUERTO DE BARCELONA 2,GAS NATURAL CO,MER,CI,ALIZADORA,  100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,67
PEGO3,CICLO COMBINADO EN PORTUGAL,ENDESA GENERA,"CIÓN,",S,.A.,  100 GENERACION ZONA PORTUGUESA Ciclo Combin ado,67
PEGO4,CICLO COMBINADO EN PORTUGAL,ENDESA GENERA,"CIÓN,",S,.A.,  100 GENERACION ZONA PORTUGUESA Ciclo Combin ado,67
PEURE01,"ANSERALL I,II,III",PRODUCTORA EL,ÉCTR,IC,"A URGELENSE-1, S",.L . 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,67
PEURE02,UO SANTA LUCIA,PRODUCTORA EL,ÉCTR,IC,"A URGELENSE-1, S",.L . 100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,67
PGR5,C.C. PUENTES 5,ENDESA GENERA,"CIÓN,",S,.A.,  100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,67
PHENV02,PH VENDA,"PH ENERGIA, LDA",,,,  100 GENERACION ZONA PORTUGUESA RE Tarifa CU R (uof),67
PLGRE01,PLANA C.G. R.E.001,PLANA CAN GUITA,RT S,.L,.,  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,67
PORTV02,PORTULOGOSAUTOCONSUMO,PORTULOGOS PO,WER,L,DA,  100 GENERACION ZONA PORTUGUESA RE Tarifa CU R (uof),67
PTLIV02,FOTOVOLTAICOS,MEO ENERGIA CO,MER,CI,ALIZACAO DE ENER,G IA SA 100 GENERACION ZONA PORTUGUESA RE Tarifa CU R (uof),67
PULRE01,PULSAR REPR 01,PULSAR SERVICIO,S EN,E,RGÉTICOS SL,  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,67
PVENT1,C.C. PLANA DE VENT 1,GAS NATURAL CO,MER,CI,ALIZADORA,  100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,67
PVENT2,C.C. PLANA DE VENT 2,ALPIQ ENERGÍA E,SPAÑ,"A,",S.A.U.,  100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,67
PWPV02,UNIDADE VENDA,POWER PLUS II - C,OME,R,CIALIZACAO DE EN,"ER GIA, LDA. 100 GENERACION ZONA PORTUGUESA RE Tarifa CU R (uof)",67
PZCPR,PZCPR,REPSOL GENERA,CIÓN,E,"LÉCTRICA, S.A",  100 GENERACION ZONA ESPAÑOLA Hidráulica Ge neración,67
RABID2R,COG. LA RABIDA II,SERVICIOS ENER,GETIC,O,S DE ALTA EFICIEN,"C IA, S.A 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",67
RDQ1,RINCON DEL DUQUE 1,WIND TO MARKET,(ACT,.:,COMERCIALIZACIÓ,N RE) 100 GENERACION ZONA ESPAÑOLA Hidráulica Ge neración,67
RDQ2,RINCON DEL DUQUE 2,WIND TO MARKET,(ACT,.:,COMERCIALIZACIÓ,N RE) 100 GENERACION ZONA ESPAÑOLA Hidráulica Ge neración,67
REPPLL,REPSOL PUERTOLLANO,REPSOL FUELS S,A,,,  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,67
REPR,REPRIMALA,WIND TO MARKET,(ACT,.:,COMERCIALIZACIÓ,N RE) 100 GENERACION ZONA ESPAÑOLA Hidráulica Ge neración,67
REPTV02,UN. PROPIAS AUTO,CONSUMO CON EX,REPSOL PORTUGU,"ESA, L",DA,   100 GENERACION ZONA PORTUGUESA RE Tarifa CU R (uof),68
REPVD01,UD A TARIFA REPS,OL,REPSOL FUELS SA,,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
REPVD02,COG2 CARTAGENA,,REPSOL FUELS SA,,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
REPVD03,PETRONOR VENTA,A TARIFA,REPSOL FUELS SA,,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
REPVD04,PETRONOR1 VENT,A A TARIFA,REPSOL FUELS SA,,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
REPVD05,REPVD05,,REPSOL FUELS SA,,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
REPVD06,REPVD06,,REPSOL FUELS SA,,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
REPVD07,REPVD07,,REPSOL FUELS SA,,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
RESRE01,CABEZO,,FALCK NEXT ENER,GY SR,L SPAIN,SU CURSAL  100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,68
RESRE02,CARRECASTRO,,FALCK NEXT ENER,GY SR,L SPAIN,SU CURSAL  100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,68
RESRE03,DEHESILLA I,,FALCK NEXT ENER,GY SR,L SPAIN,SU CURSAL  100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,68
RESRE04,DEHESILLA 2,,FALCK NEXT ENER,GY SR,L SPAIN,SU CURSAL  100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,68
RESRE05,ESQUILVENT,,FALCK NEXT ENER,GY SR,L SPAIN,SU CURSAL  100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,68
RESRE06,SAN LORENZO C,,FALCK NEXT ENER,GY SR,L SPAIN,SU CURSAL  100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,68
RESRE07,SAN LORENZO D,,FALCK NEXT ENER,GY SR,L SPAIN,SU CURSAL  100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,68
RESSECR,C.H. RESSEC,,ELÉCTRICA ANTON,IO MA,"DRID, S.L",.   100 GENERACION ZONA ESPAÑOLA Hidráulica Ge neración,68
RIBATE1,C.C. RIBATEJO 1,,EDP GEM PORTUG,AL S.A,.,   100 GENERACION ZONA PORTUGUESA Ciclo Combin ado,68
RIBATE2,C.C. RIBATEJO 2,,EDP GEM PORTUG,AL S.A,.,   100 GENERACION ZONA PORTUGUESA Ciclo Combin ado,68
RIBATE3,C.C. RIBATEJO 3,,EDP GEM PORTUG,AL S.A,.,   100 GENERACION ZONA PORTUGUESA Ciclo Combin ado,68
RIVRE01,RIVAS VENDEDOR,REG.ESPECIAL 01,AYUNTAMIENTO DE,RIVA,S-VACIA,MA DRID  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,68
RMU1,RIO MUERTO,,WIND TO MARKET (,ACT.:,COMERC,IA LIZACIÓN RE ) 100 GENERACION ZONA ESPAÑOLA Hidráulica Ge neración,68
ROFVD01,ROFEICA ENERGIA,VENTA,"ROFEICA ENERGIA,",S.A.,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
ROFVD02,ROFVD02,,"ROFEICA ENERGIA,",S.A.,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
RPTRTAR,REPSOL PETRÓLE,O TARRAGONA,REPSOL FUELS SA,,,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
RSEVD02,VENTAS FV MENOR,ES 1 MW,RESPIRA ENERGIA,ESPA,"ÑA, S.A.",   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,68
RSEVD03,VENTAS HIDRAULI,CA MENOR 1 MW,RESPIRA ENERGIA,ESPA,"ÑA, S.A.",   100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,68
RSEVD04,VENTAS EOLICA M,ENORES 1 MW,RESPIRA ENERGIA,ESPA,"ÑA, S.A.",   100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,68
RSPVD01,VENTAS TECNOLO,GIA HIDRAULICA,RESPIRA ENERGIA,MEDIT,ERRANI,"A, S.A.  100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",68
RSPVD02,VENTES SOLAR FO,TOVOLTAICA,RESPIRA ENERGIA,MEDIT,ERRANI,"A, S.A.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto",68
RSPVD03,VENTAS FOTOVOL,TAICAS > 1MW,RESPIRA ENERGIA,MEDIT,ERRANI,"A, S.A.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto",68
RSPVD05,HIDRO > 1MW,,RESPIRA ENERGIA,MEDIT,ERRANI,"A, S.A.  100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica",68
RSPVD06,VENTA TERMICA-B,IOGAS MENOR 1MW,RESPIRA ENERGIA,MEDIT,ERRANI,"A, S.A.  100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R",68
RZABAL,VALORIZACION DE,RESIDUOS DT-1,WIND TO MARKET (,ACT.:,COMERC,IA LIZACIÓN RE ) 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
SAGU1,C.C. SAGUNTO 1,,GAS NATURAL COM,ERCI,ALIZADO,RA   100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,68
SAGU2,C.C. SAGUNTO 2,,GAS NATURAL COM,ERCI,ALIZADO,RA   100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,68
SAGU3,C.C. SAGUNTO 3,,GAS NATURAL COM,ERCI,ALIZADO,RA   100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,68
SAMPVD1,SAMPOL TARIFA,,SAMPOL INGENIERI,A Y O,BRAS,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
SAMPVD2,SAMPOL TARIFA 2,,SAMPOL INGENIERI,A Y O,BRAS,   100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n,68
SAN1,SANGUESA,,WIND TO MARKET (,ACT.:,COMERC,IA LIZACIÓN RE ) 100 GENERACION ZONA ESPAÑOLA Hidráulica Ge neración,68
SBEU,UGH. SIL-BIBEY-EU,ME,ENDESA GENERAC,"IÓN, S",.A.,   100 GENERACION ZONA ESPAÑOLA Hidráulica Ge neración,68
SBO3,C.C. SABÓN 3,,GAS NATURAL COM,ERCI,ALIZADO,RA   100 GENERACION ZONA ESPAÑOLA Ciclo Combin ado,68
SEDAVD1,SEDAE RE 1,,SERVICIOS ENERG,ETICO,S DE AL,"TA EFICIENCIA, S.A 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",68
SEDVD02,GEGSAI,,SERVICIOS ENERG,ETICO,S DE AL,"TA EFICIENCIA, S.A 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",68
SEDVD03,GEGSAII,,SERVICIOS ENERG,ETICO,S DE AL,"TA EFICIENCIA, S.A 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",68
SEDVD04,LUBRISU,,,SERVICIOS ENE,RGETICO,"S D E A LTA EFICIE NCIA, S.A 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",69
SEDVD05,SEDAE RE1,,,SERVICIOS ENE,RGETICO,"S D E A LTA EFICIE NCIA, S.A 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",69
SEDVD06,SEDVD06,,,SERVICIOS ENE,RGETICO,"S D E A LTA EFICIE NCIA, S.A 100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica",69
SEDVD07,SEDVD07,,,SERVICIOS ENE,RGETICO,"S D E A LTA EFICIE NCIA, S.A 100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica n",69
SERRE01,REPR SERVC,01,,SERVICIOS ENE,RGÉTICO,S A VAN ZADOS SL   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SERRE02,REPR SERVC,02,,SERVICIOS ENE,RGÉTICO,S A VAN ZADOS SL   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SESVD02,HIDRAULICA,,,SHELL ESPAÑA,,     100 GENERACION ZONA ESPAÑOLA RE Mercado Hidráulica,69
SESVD03,UNIDAD DE O,FERTA,EOLICA,SHELL ESPAÑA,,     100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,69
SESVD04,UNIDAD DE O,FERTA,BIOGAS ORGANO,SHELL ESPAÑA,,     100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,69
SESVD05,UNIDAD DE O,FERTA,BIOGAS CARTAG,SHELL ESPAÑA,,     100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,69
SESVD08,UNIDAD OFE,RTA BIO,GAS,SHELL ESPAÑA,,     100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,69
SESVD13,UNIDAD FOT,OVOLTA,ICA 4,SHELL ESPAÑA,,     100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SESVD25,ENERPARC A,ASS,,SHELL ESPAÑA,,     100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SESVD29,UNIDAD OFE,RTA BIO,GAS GADOR 2,SHELL ESPAÑA,,     100 GENERACION ZONA ESPAÑOLA RE Mercado Térmica R,69
SFA1,SAN FAUSTO,1,,WIND TO MARKE,T (ACT.:,COM ER CIALIZACIÓ N RE ) 100 GENERACION ZONA ESPAÑOLA Hidráulica Ge neración,69
SFA2,SAN FAUSTO,2,,WIND TO MARKE,T (ACT.:,COM ER CIALIZACIÓ N RE ) 100 GENERACION ZONA ESPAÑOLA Hidráulica Ge neración,69
SHEVD01,UNIDAD FOT,OVOLTA,ICA 1,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD02,UNIDAD FOT,OVOLTA,ICA 2,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD03,UNIDAD FOT,OVOLTA,ICA 3,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD04,UNIDAD FOT,OVOLTA,ICA 4,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD05,UNIDAD FOT,OVOLTA,ICA 5,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD06,UNIDAD FOT,OVOLTA,ICA 6,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD07,UNIDAD DE O,FERTA,FOTOVOLTAICA,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD08,UNIDAD DE O,FERTA,FOTOVOLTAICA,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD09,FV PUERTOL,LANO,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD10,FV EL VILLAR,,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD11,UNIDAD DE O,FERTA,DE MERIDA,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD12,FV FREYA,,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD13,FV DON ROD,RIGO III,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD14,FV DON ROD,RIGO IV,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD15,FV DON ROD,RIGO V,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD16,FV BIANOR,,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD17,FUENTE1,,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD18,FUENTE2,,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD19,FUENTE3,,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD20,FUENTE4,,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD21,HINOJOSAS,,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD22,UO THERMIS,TO (TRI,LLO 1),SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD23,TELESTO7 (T,RILLO2),,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD24,UO TETHYS (,TRILLO,3),SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD25,UO RHEA (TR,ILLO 4),,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD26,TELESTO (TR,ILLO5),,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD27,BIANOR SPV,,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD28,FV CANADA A,LTA,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD29,UNIDAD PV 2,9,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD30,UNIDAD PV 3,0,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD31,UNIDAD PV 3,1,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SHEVD32,UNIDAD EOLI,CA 32,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,69
SHEVD33,UNIDAD EOLI,CA 33,,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,69
SHEVD34,UNIDAD OFE,RTA EO,LICA,SHELL ENERGY,EUROPE,LIM ITE D   100 GENERACION ZONA ESPAÑOLA RE Mercado Eólica,69
SIL,UGH. SIL,,,IBERDROLA ENE,RGÍA ES,PAÑ A S ..A.   100 GENERACION ZONA ESPAÑOLA Hidráulica Ge neración,69
SIMPVD1,VENTA DE EN,ERGÍA,,SIMPLES ENERG,IA DE ES,PAÑ A S L   100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SIMPV02,VENDA DE EN,ERGIA,PT,SIMPLES ENERG,IA DE ES,PAÑ A S L   100 GENERACION ZONA PORTUGUESA RE Tarifa CU R (uof),69
SLRRE01,SOLARIA REP,RESEN,TACION VENTA,SOLARIA REPRE,SENTAC,ION EN MERCADO S.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SLRRE02,CENTAURUS,SOLAR,,SOLARIA REPRE,SENTAC,ION EN MERCADO S.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SLRRE03,AQUARII SOL,AR,,SOLARIA REPRE,SENTAC,ION EN MERCADO S.L.  100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Foto,69
SLRRE04,MAGACELA SO,LAR,SOLARIA RE,PRESENT,ACION,E N MERCADO S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,70
SLRRE05,FUENMAYOR,,SOLARIA RE,PRESENT,ACION,E N MERCADO S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,70
SLRRE06,AURIGA SOLA,R,SOLARIA RE,PRESENT,ACION,E N MERCADO S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,70
SLRRE07,FV MEDINA,,SOLARIA RE,PRESENT,ACION,E N MERCADO S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,70
SLRRE08,FV BELINCHON,,SOLARIA RE,PRESENT,ACION,E N MERCADO S.L. 100 GENERACION ZONA ESPAÑOLA RE Mercado Solar Fotovoltáica,70
