codigo_de_sujeto,nombre,codigo_eic,tipo_de_sm
COMEG,COMERCIALIZADORA ELECTRICA INDUSTRIAL SA,18X000000000PK1H,Comercializador
ELESU,COMERCIALIZADORA ELECTRICA SUD,18X00000000023US,Comercializador
SUMAE,COMERCIALIZADORA ELECTRICA VALENCIANA,18X000000000GW67,Comercializador
LUBAL,COMERCIALIZADORA ELECTRICIDAD,18XLUBALOO12345L,Comercializador
CESOS,COMERCIALIZADORA ENERGETICA SOSTENIBLE - GRUPO EDP,18X000000000GI7A,Comercializador
COMCH,COMERCIALIZADORA LA CHISTABINA,18X0000000006SQJ,Comercializador
LER,COMERCIALIZADORA LERSA SL,18XLER-123456-3W,Comercializador
BEYON,COMERCIALIZADORA LUZIA ENERGIA,18X0000000008NYA,Comercializador
COALG,COMERCIALIZADORA SUMINISTRO ES,18XCOALG-12345-U,Comercializador
COMPA,COMPAÑÍA CASTELLANA DE COMERCIALIZACION ELECTRICA S.L.,18X000000000JVVM,Comercializador
CEPSA,COMPAÑÍA ESPAÑOLA DE PETROLEOS,18XCEPSA-12345-6,Productor
LUMIE,COMPAÑIA LUMISA ENERGIAS,18XLUMIE-12345-G,Comercializador
TRADB,COMPRAENERGIAPARAGRUPO,18X000000000G6S4,Consumidor directo mercado
CONEC,CONECTA2,18XCONEC-12345-U,Comercializador
CZFV,CONSORCIO ZONA FRANCA DE VIGO,18XCZFV-123456-3,Consumidor directo mercado
RIVAS,CONSUMIDOR DIRECTO AYUNTAMIENTO RIVAS,18X00000000053OS,Consumidor directo mercado
ARRUB,"CONTOURGLOBAL LA RIOJA, S.L.",18XARRUB-12345-A,Productor
CECA,"COOP ELECTR DE CASTELLAR, S.CV",18XCECA-123456-H,Comercializador
CCATR,COOP. ELECT. CATRALENSE,18XCCATR-12345-W,Comercializador
EBIAR,COOP. ELECT. NTRA. SRA. GRACIA,18XEBIAR-12345-9,Comercializador
EDFAS,COOP.ELECTRICA SERRALLO,18XEDFAS-12345-9,Comercializador
SFAD,COOPELECSANFCODEASIS,18XSFAD-123456-B,Comercializador
CEA,COOPERATIVA ELÉCTRICA-BENÉFICA,18XCOOPERATIVAES,Comercializador
CORPO,CORPOLUX,18XCORPO-12345-R,Comercializador
GUIS,CORPORACION ALIMENTARIA GUISSO,18XGUIS-12345-1P,Productor
VINI,COVINIL,18XVINI-123456-2,Consumidor directo mercado
AENER,COX ENERGIA COMERCIALIZADORA,18XAVALIAENERGIN,Comercializador
CRCES,CRCES,18X000000000HFKQ,Consumidor directo mercado
CREAE,"CREAENERGIA ECO, S.L.U",18X000000000M0P4,Comercializador
CRESO,CRECE SOLUCIONES DE ENERGIA,18X000000000JE5E,Comercializador
CUNC,CUNTIENSE COMERCIALIZADORA,18XCUNC-123456-H,Comercializador
CUPA,CUPIRE PADESA S.L,18XCUPA-123456-F,Consumidor directo mercado
IBCUR,CURENERGÍA,18XIBCUR-12345-8,Comercializador de Referencia
CUVER,"CUVER DESTELLA ENERGIA, SL.",18X000000000PA52,Comercializador
CYDAE,CYDAE,18XCYDAE14888322,Comercializador
CYE,CYE ENERGÍA S.L.,18XCYE-123456--N,Comercializador
DAIMU,DAIMUZ ENERGIA SL,18XDAIMUZSL2014M,Comercializador
DANSK,DANSKE COMMODITIES,18X000000000PIC1,Comercializador
DEELU,DEE LUNA ENERGY SL,18X000000000PLAX,Comercializador
DEPOA,DEPORTIVO ALAVES SAD,18X000000000N0QZ,Consumidor directo mercado
DESMA,DESMA SOLUCIONES SL,18X000000000PE9J,Comercializador
DILUZ,DILUZ COMERCIALIZADORA DE ELECTRICIDAD S.L.,18X000000000L8SF,Comercializador
DIPBA,DIPUTACION DE BADAJOZ,18X000000000HGOF,Consumidor directo mercado
DIREA,DIRECT GREEN S.L,18X000000000M8U7,Comercializador
DIELE,DISA ENERGIA ELECTRICA SL,18X0000000004IJY,Comercializador
ELCAT,"DISTRIBUIDORA ELÉCTRICA DE CATOIRA, S.A",18XELCAT-12345-B,Comercializador
DIVIC,DIVICONSULTING ENERGIA COMERCIALIZADORA,18X0000000004S7S,Comercializador
ZEREN,DOMESTICA GAS Y ELECTRICIDAD,18X0000000000X4Z,Comercializador
DONBE,"DON BELTRAN MARKET, S.L.",18X000000000PEAH,Comercializador
DREUA,DREUE AGRUPACION S L,18XDREUA-12345-C,Comercializador
DRK,DRK ENERGY COMERCIALIZADORA,18XDRK-1234567-4,Comercializador
DUERO,DUEROLUZ ENERGIA SL,18X000000000PG9D,Comercializador
DUFEA,DUFERCO ENERGIA S.P.A.,26X00000009701-T,Comercializador
DXD,DX COMERCIALIZADORA,18X0000000004SMZ,Comercializador
DUFER,DXT COMMODITIES SA,12X-0000001848-D,Comercializador
DYNEF,DYNEFF ESPAÑA SL,18X000000000LV8N,Comercializador
EGEN,E GUIXES ENERGIA,18XEGEN-123456-0,Comercializador
ELUZE,"E-LUZ ENERGY SOLUTIONS, S.L.",18X000000000IQ0T,Comercializador
CHERA,"E. DE SOT DE CHERA, SOC. COOP",18XCHERA-12345-R,Productor
EBROE,EBROENERGIA COMERCIALIZADORA SL,18X000000000I18E,Comercializador
ECOND,ECO NUEVOS DESARROLLOS,18XECOND-12345-1,Comercializador
ECOFU,ECOFUTURA LUZ ENERGIA,18X00000000024EK,Comercializador
ECOTH,"ECOTHERMIC XXI, SOCIEDAD LIMITADA",18X000000000P7IM,Comercializador
ECOVE,ECOVERGY RENOVABLES,18X000000000NWLN,Comercializador
EDFT,EDF TRADING LTD,11XEDFTRADING--G,Comercializador
EDFAC,EDFA CASABLANCA,18XEDFAC-12345-5,Comercializador
EDPCL,EDP CLIENTES,18X000000000I8HC,Comercializador
HC G,"EDP ESPAÑA, S.A.",18XHCG-123456-0D,Productor
EFIDU,EFI-DUERO ENERGY SOCIEDAD COOPERATIVA EUROPEA LIMITADA,18X0000000004Y3I,Comercializador
EFIRA,EFIRAM PATRIMONIO SL,18X000000000PE1Z,Comercializador
EGNIS,EGNI SMART ENERGIES SL,18X000000000PKP6,Comercializador
EGSGE,"EGSG ELECTRIK N1, S.L.",18X000000000PGMO,Comercializador
EGED,EHN GREEN ENERGY DEVELOPMENT,18XEGED-12345-16,Comercializador
EKHIN,"EKHINEO ENERGÍA, S.L.",18X000000000P3F3,Comercializador
KREAN,EKILUZ ENERGIA COMERCIALIZADORA SL,18X000000000HBAL,Comercializador
ELALG,ELALG,18XELALG-12345-3,Comercializador
STACO,ELEC MUN S COLOMA DE QUERALT,18X0000000002Q2F,Comercializador
RONDA,ELEC SERRANIA RONDA ENERGIA SL,18XRONDA-12345-B,Comercializador
ELECB,ELECBALEAR SL,18X00000000014AW,Comercializador
ELECN,ELECNOVA,18XELECNOVASXXIG,Comercializador
ELTED,ELECTED ENERGY,18X000000000ITO9,Comercializador
EAM01,ELECTRA ALTO MIÑO COMERCIALIZA,18XEAM01-12345-F,Comercializador
ELAVE,"ELECTRA AVELLANA COMERCIAL, S.",18XELAVE-12345-W,Comercializador
ECAL,"ELECTRA CALDENSE ENERGÍA, S.A.",18XECAL-12345-3E,Comercializador
ECE,ELECTRA DEL CARDENER ENERGIA,18XECE-123456-3V,Comercializador
EEN,ELECTRA ENERGIA S.A.U.,18XEEN-123456-3J,Comercializador
NORT,"ELECTRA NORTE ENERGIA, S.A.",18XENORT-1234-1W,Comercializador
VAQ,"ELECTRA VAQUER, S.A.",18XVAQ-123456-3Z,Comercializador
CENTS,ELECTRACOMERCIAL CENTELLES,18XCENTS-12345-4,Comercializador
AMADR,ELECTRICA ANTONIO MADRID,18XELANTONIMADRV,Comercializador
ELBEN,ELECTRICA BENASQUE SL,18X0000000001SQ2,Comercializador
CATRA,ELECTRICA CATRALENSE SLU,18XCATRA-12345-K,Comercializador
EALB,"ELECTRICA DE ALBATERENSE, S.L",18XEALB-123456-4,Comercializador
ECADZ,ELECTRICA DE CADIZ,18XECADZ-1234-3U,Comercializador
CALLO,ELECTRICA DE CALLOSA DE SEGURA,18XCALLO-12345-5,Productor
ACHER,ELECTRICA DE CHERA,18XACHER-12345-K,Comercializador
COELD,"ELECTRICA DE GUADASSUAR, S.C.V",18XCOELD-12345-D,Comercializador
EMELI,ELECTRICA DE MELIANA,18XELECTRICADEME,Comercializador
JOSEP,ELECTRICA DE SUDANELL SL,18XJOSEP-12345-Q,Comercializador
VINAL,ELECTRICA DE VINALESA SCV,18XVINAL-1234--H,Comercializador
ELPOP,"ELECTRICA POPULAR, S. COOP.",18XELPOP-12345-N,Productor
SALPA,ELECTRICA SALAS DE PALLARS COMERCIALIZADORA,18X00000000023BT,Comercializador
ESERO,ELECTRICA SEROSENSE,18XESERO-1234-3C,Comercializador
SOLL,ELECTRICA SOLLERENSE SA,18XSOLLE-12345-F,Comercializador
ELEIA,ELECTRICIDAD ELEIA SL,18X000000000D1QZ,Comercializador
ELALM,ELECTRICITAT DALMENAR SL.,18X0000000002CQ9,Comercializador
CERLE,ELECTRONICA CERLER S.A,18X000000000PEF7,Consumidor directo mercado
EROUT,ELECTROROUTE ENERGY TRADING LD,23X----110718ERI,Comercializador
ELEGA,ELEGA ENERGIA COMERCIALIZADORA,18X00000000029OM,Comercializador
ELEK,ELEK COMERCIALIZADORA,18XELEK-123456-7,Comercializador
EGLE,ELEKTRIZITATS-GESELLSHAFT,18XEGLE-12345-1U,Comercializador
ELVA2,ELEVA 2 COMERCIALIZADORA,18XELVA2-12345-8,Comercializador
ELITE,ELITE BIOENERGÍA S.L.,18X000000000K2TZ,Comercializador
EMES,EMILIO ESTEBAN S.A,18XEMES-123456-Q,Consumidor directo mercado
ENARA,ENARA GESTION Y MEDIACION SL,18XENARA-12345-A,Comercializador
ENCHU,ENCE ENERGIA HUELVA DOS,18X000000000FCRT,Productor
PU100,ENCE ENERGIA PUERTOLLANO,18X000000000FCTP,Productor
EENER,"ENCE ENERGÍA, S.L.",18X000000000F0ZC,Productor
ENCIE,"ENCIENDETENERGIA, S.L.",18X000000000OB37,Comercializador
ECYR,ENDESA COGENER Y RENOVABLES,18XECYR-12345-1R,Productor
ENDCO,Endesa Energia,18XENDCO-1234-3B,Comercializador
EEREN,ENDESA ENERGIA RENOVABLE,18X000000000EGUF,Comercializador
ENDI,ENDI ENERGIA,18X000000000F9VU,Comercializador
ENEFI,ENERFIA,18X000000000FYXP,Comercializador
EGAZE,ENERGAZE,18X000000000LIAL,Comercializador
DLSTE,ENERGÉTICA DEL ESTE SL,18X000000000EYNC,Comercializador
ENEDK,ENERGETICA HOTELERA,18X000000000P2NR,Comercializador
ECOLE,ENERGÍA COLECTIVA,18XENECOLECTIVA6,Comercializador
ENERY,ENERGIA ECOLOGICA ECONOMICA,18X000000000I7WM,Comercializador
ENEEX,ENERGÍA GAS AL-ANDALUS SL,18X000000000PIA5,Comercializador
ENUFR,ENERGIA NUFRI,18X00000000037UC,Comercializador
EOP20,ENERGIA OPERATIVA,18XEOP20-12345-P,Comercializador
ENEET,ENERGIA RESPONSABLE COMERCIALIZADORA SL,18X000000000PF1W,Comercializador
ENEDG,ENERGIA UNICA SOLUCIONES INTEGRALES SL,18X000000000P1UG,Comercializador
EVIVA,ENERGIA VIVA SPAIN SL,18XEVIVA-12345-8,Comercializador
EEXXI,Energia XXI,18XEEXXI-12345-T,Comercializador de Referencia
EYCE1,ENERGIA Y COMERCIALIZACION EMPRESARIAL SL,18X0000000005UAC,Comercializador
ENEDB,ENERGIAREA EUROPE SL,18X000000000NSRN,Comercializador
ENDEE,ENERGIAS DE ESCARRILLA SL,18X0000000002JEC,Comercializador
CAMCO,ENERGIAS DE LA VILLA DE CAMPO COMERCIALIZADORA SLU,18X0000000003HAM,Comercializador
ENDEP,ENERGIAS DE PANTICOSA COMERCIALIZADORA,18X0000000002SAU,Comercializador
ENEAC,ENERGIAS DEL ZINQUETA COMERCIALIZADORA SLU,18X000000000J562,Comercializador
MEDI,ENERGIAS RENOVABLES MEDITERRANEAS,18XMEDI-12345-1Z,Productor
ENRNV,ENERGIAS RENOVADORAS SL,18X000000000M7D7,Comercializador
ENEDJ,ENERGIES RENOVABLES PUBLIQUES DE CATALUNYA SAU,18X000000000P2JZ,Comercializador
EGREN,ENERGREEN MOBILITY S.L,18X000000000HLO0,Comercializador
COGEN,"ENERGY BY COGEN, S.L.U",18XENERGYBCOGENE,Comercializador
EFG,ENERGY FACTORY GROUP S.L.,18XEFG-123456-1E,Comercializador
EINDE,ENERGY INDEX SL,18XX000000000PBN,Comercializador
INSOL,ENERGY INTERSOL 15,18X000000000KWJ2,Comercializador
ENEPL,ENERGY PLUS IBERIA SL,18X000000000P2TF,Comercializador
ENSAV,ENERGY SAVE PROYECTS,18XENSAV-12345-F,Comercializador
ETSOL,ENERGY TRADER SOLUTIONS SL,18XENERGYTRADERK,Comercializador
EWCA,"ENERGY WORKS CARTAGENA, S.L.",18XEWCA-12345-0G,Productor
CEG,ENERGYA VM GENERACION S.L.U.,18XCEG-123456-1F,Representante
CENTE,"ENERGYA VM GESTION DE ENERGÍA, S.L.U",18XCENTE-1234-3T,Comercializador
STROM,ENERGYSTROMXXI,18XENERGYSTROMXZ,Comercializador
EKORE,ENERKORE SL,18X000000000D7AC,Comercializador
ENEDH,ENERMIA COMERCIALIZADORA ELECTRICA S.L.,18X000000000OUSB,Comercializador
ENPEN,ENERPLUS ENERGIA,18XEPLUSENERGIAN,Comercializador
ENETI,"ENERTIA GROUP, S. L.",18X000000000O06Y,Comercializador
ENVER,ENERVER ENERGIA,18X000000000IDF1,Comercializador
EGALE,ENERXIA GALEGA MAIS,18XENERGIAPLUS1W,Comercializador
ENEXS,ENEX SOCIAL ENERGY SL,18X000000000L247,Comercializador
EBLCO,ENGIE,18XEBLCO-1234-3U,Comercializador
CARTA,ENGIE CARTAGENA S.L.,18XCARTA-1234-01,Productor
CTNU,ENGIE CASTELNOU,18XCTNU-12345-0G,Productor
ENHEA,"ENHER HECSA, SL",18X000000000PDPR,Comercializador
ENTXX,ENTECO EXTREMADURA,18X000000000NSFA,Consumidor directo mercado
ENPHA,ENTECO PHARMA,18X000000000NSG8,Consumidor directo mercado
EPAC,EPAC COMERCIALIZADORA,18X000000000I8L4,Comercializador
EPRSA,EPRESA ENERGIA S.A.U.,18XEPRSA-1234-3L,Comercializador
EQUAN,"EQUANIMITYENERGY TO GO, SLU",18X000000000P9LA,Comercializador
CEEE,ESCANDINAVA DE ELECTRICIDAD,18XCEEE-123456-T,Comercializador
ESDOM,ESDOMO ENERGÍA SL,18X000000000H3FZ,Comercializador
EPYM,ESTABANELL Y PAHISA MERCATOR,18XEPYM-12345-3S,Comercializador
