codigo_de_uf,codigo_eic,descripcion_corta,descripcion_larga,tipo_de_produccion,vinculacion_con_sm,vinculacion_con_up,potencia_maxima_mw
KELC01,18W000000000M3YS,KELC01,KELC01,Consumos directos en mercado,CALEA,KELC01,"1,1"
KEPILAS,18W000000000SG4P,KEPILAS,KELLYPILAS,Solar fotovoltaica,EGLE,FKELLY,"4,5"
KERABEN,18WKERABEN-12-D2,KERABEN,KERABEN,Gas natural cogeneración,WMARK,TKERAB,"9,6"
KILVC01,18W000000000442D,KILV_C,KILOWATIOS VERDES UP,Comercializadores mercado libre,KILVE,KILVC01,"4,0"
KINA1,18W000000000NLI2,KINA1,KINANOS SOLAR 1,Solar fotovoltaica,GAC,FKGAC,"3,0"
KINA2,18W000000000NLJ0,KINA2,KINANOS SOLAR 2,Solar fotovoltaica,GAC,FIGAC,"2,0"
KINEC01,18W000000000PS33,KINEC01,COMPRA KINESTALIA,Comercializadores mercado libre,KINE,KINEC01,"1,0"
KIRIC01,18W000000000RY1I,KIRIC01,KIRIN RENOVABLES,Comercializadores mercado libre,KIRIN,KIRIC01,"0,0"
KODLC01,18W000000000JGQH,KODLC01,KODLC01,Comercializadores mercado libre,KODLC,KODLC01,"0,1"
KONYC01,18W000000000DRVZ,KONERY,KONERY EFICIENCIA ENERGTICA SL,Comercializadores mercado libre,KONRY,KONYC01,"0,1"
KREAC01,18W000000000IYHM,KREAC01,KREAN ENERGIA COMERCIALIZADORA,Comercializadores mercado libre,KREAN,KREAC01,"10,0"
KRONO1,18W000000000S2NT,KRONO1,KRONO1,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
KRONO2,18W000000000S2OR,KRONO2,KRONO2,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
KRONO3,18W000000000S2PP,KRONO3,KRONO3,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
KVASCP3,18W000000000U4EX,KVCOMP,KVASICOMPRA,Importación Francia,KVASI,KVASCP3,"10,0"
KVASVP3,18W000000000U4FV,KVVENT,KVASIVENTA,Exportación Francia,KVASI,KVASVP3,"10,0"
KWFC01,18W000000000K3NL,KWFI,KWFVI ENERGIA,Comercializadores mercado libre,KWFVI,KWFC01,"1,0"
LABA,18WLABA-12345-A9,LA BAELLS,LA BAELLS,Embalse,ENDG,EBRFEN,"6,9"
LABAS,18WLABAS-1234-A8,LABAS,LABAS,Fluyente,IBGES,HFIBGES,"4,6"
LABOC01,18W-LABOC01-6--V,LABOIL CC,LABOIL CC,Comercializadores mercado libre,LABOI,LABOC01,"4,3"
LABRA,18WLABRA-1234-ET,LABRA,P.E. LABRADAS,Eólica terrestre,IBGES,EHIBGES,"36,5"
LABRADO,18WLABRADO-12-EE,LABRADO,P.E. LOS LABRADOS,Eólica terrestre,HISPE,RWESZN,"24,0"
LACABRI,18W000000000KZCL,LACABRITA,LACABRITA,Solar fotovoltaica,HISPE,FLACAB,"42,4"
LACAYA,18WLACAYA-1234-2,LACAYA,18WLACAYA-1234-2,Eólica terrestre,EGLE,EMTORR,"4,9"
LACOC01,18W000000000F7BG,LA CORRIEN,LA CORRIENTE S COOP,Comercializadores mercado libre,LACOR,LACOC01,"0,1"
LACUES,18WLACUES-1234-N,LACUES,P.E.CUESTA MAÑERA,Eólica terrestre,GNCO,EGASNE0,"49,5"
LACUEST,18WGUADALCUESTAH,LACUEST,PE LA CUESTA GUADALTEBA,Eólica terrestre,HC G,HCGSCSA,"27,2"
LADYC01,18W000000000SQPR,ES-LADYWAR,LADY WARSAW INVESTMENT SL,Comercializadores mercado libre,LADYW,LADYC01,"0,6"
LAESTAN,18W000000000F5UL,LA ESTANCA,PE LA ESTANCA,Eólica terrestre,ECYR,EREGPEV,"24,0"
LAF1,18WLAF1-12345-AI,LAFORTUN 1,LAFORTUNADA-CINCA GR.1,Embalse,ENDG,EBRACC1,"13,8"
LAF2,18WLAF2-12345-A8,LAFORTUN 2,LAFORTUNADA-CINCA GR.2,Embalse,ENDG,EBRACC1,"13,8"
LAF3,18WLAF3-12345-AZ,LAFORTUN 3,LAFORTUNADA-CINCA GR.3,Embalse,ENDG,EBRACC1,"13,8"
LAF4,18WLAF4-12345-AP,LAFORTUN 4,LAFORTUNADA-CINQUETA GR.1,Embalse,GNRA,EBROF,"20,4"
LAF5,18WLAF5-12345-AF,LAFORTUN 5,LAFORTUNADA-CINQUETA GR.2,Embalse,GNRA,EBROF,"20,4"
LAFTORE,18W000000000P03D,FLTORRE,FLATORRE,Solar fotovoltaica,GESTE,FLTORRE,"42,0"
LAG,18WLAG-123456-AG,LA GOTERA,LA GOTERA,Fluyente,IBEG,DUER,"0,5"
LAGAV01,18W000000000TJDV,LAGAVARRA ,LAGAVARRA VENTA,Solar fotovoltaica,CENTS,LAGAV01,"1,0"
LAGOS,18WLAGOS-1234-ER,LAGOS,P.E. SIERRA DE LOS LAGOS,Eólica terrestre,HC G,HCGSCSA,"38,9"
LAGUNAS,18W000000000QXFY,LAGUNAS,PF LAS LAGUNAS,Solar fotovoltaica,EGLE,FKALEL,"2,1"
LAHERRE,18W000000000SG2T,LAHERRE,PSFV LA HERRERA,Solar fotovoltaica,METEN,METEV07,"39,0"
LAHUESA,18W000000000LV0G,LAHUESA,PE LA HUESA,Eólica terrestre,IBGES,EHIBGES,"17,8"
LAISA,18WLAISA-1234-DI,LAISA,ROQUETTE LAISA ESPAÑA,Gas natural cogeneración,EGLE,TRLE,"10,2"
LAISA1,18W000000000NSEQ,LAISA1,UFI MECANISMO LAISA,Gas natural cogeneración,EGLE,TRLE1,"4,0"
LALBT,18W000000000QXV2,LALBT,LALBT,Solar fotovoltaica,GNRA,FVGNRA,"3,0"
LALCON,18WLALCON-1234-H,LALCON,P.E. LA ALCONADA,Eólica terrestre,GNCO,EGASNE0,"4,5"
LALMEND,18WLOMALMENDARA0,LALMEND,P.E.LOMA DE ALMENDARACHE,Eólica terrestre,EGED,EGREEN,"12,0"
LALOMA,18WLALOMA-1234-J,LALOMA,LA LOMA,Biomasa,ENCEG,RLALOM,"16,0"
LALOMBA,18WLALOMBA-123-W,LALOMBA,18WLALOMBA-123-W,Eólica terrestre,EGLE,ELODOS,"4,9"
LAMESA,18WLAMESA-123--W,LAMESA,LA MESA,Eólica terrestre,BURGE,EBURGE,"9,0"
LAMPC01,18W000000000UCUE,LAMPYRIS,LAMPYRIS ENERGIA SL,Comercializadores mercado libre,LAMPY,LAMPC01,"1,0"
LAMR,18WLAMR-12345-AE,MORCA,LA MORCA,Fluyente,ENDG,EBRACC1,"0,6"
LAMUEL1,18WLAMUEL1-12-EZ,LAMUEL1,P.E. LA MUELA 1,Eólica terrestre,IBGES,EHIBGES,"49,5"
LAMUELA,18W000000000TA0A,LAMUELA,LAMUELA,Hidráulica - No UGH,DETIC,HYLAMUE,"4,8"
LAMUN,18WLAMUN-12345-W,LAMUN,P.E.LA MUÑECA,Eólica terrestre,GNCO,EGASNE0,"40,5"
LAMURTA,18W000000000N641,LAMURTA,CH LA MURTA,Fluyente,HC G,HCHI2,"0,9"
LAN1,18WLAN1-12345-A4,LANCARA 1,LANCARA DE LUNA 1,Embalse,CHDUE,LANCAR,"0,3"
LAN2,18WLAN2-12345-AV,LANCARA 2,LANCARA DE LUNA 2,Embalse,CHDUE,LANCA2,"0,8"
LANAVA,18W000000000SXO8,LANAVA,PSF LA NAVA,Solar fotovoltaica,EGLE,FSONAV,"45,0"
LANAVAE,18WLANAVAEOLICAJ,NAVA,P.E. LA NAVA,Eólica terrestre,HC G,HCGSCSA,"27,2"
LANCES,18WLANCES-123-EU,LANCES,P. E. LOS LANCES,Eólica terrestre,ECYR,EREGPEM,"10,6"
LANCHAL,18WPE-LANCHAL--M,LANCHAL,PE LANCHAL,Eólica terrestre,ECYR,EEGPEM,"21,2"
LANDC01,18W-LANDC01-3--M,LANDS ,LANDS AND BUILDING S.L,Consumos directos en mercado,LAND,LANDC01,"1,9"
LANDRO,18WLANDRO-1234-O,LANDRO,18WLANDRO-1234-O,Fluyente,EGLE,HSOLUE,"8,2"
LANTER,18WLANTER-123-EG,LANTER,P.E. LANTERNOSO,Eólica terrestre,HISPE,RWESZN,"24,0"
LAOBC01,18W000000000ONT7,LAOBC01,LAOBC01 UP,Comercializadores mercado libre,LABOA,LAOBC01,"0,1"
LAOFW,18W000000000O6XD,LAOFW,LAOFW,Solar fotovoltaica,GNRA,FVGNRA,"5,0"
LAPAC01,18W000000000QEM3,GALAP ENER,GALAPAGO ENERGIA,Comercializadores mercado libre,GALAP,LAPAC01,"0,1"
LAPBLA,18W000000000FZQD,LA POBLA,CH LA POBLA,Fluyente,NEXU,HPOBLA,"7,5"
LAPENA,18W000000000FGIC,LA PENA,PE LA PEÑA,Eólica terrestre,HC G,HCGSIHA,"28,8"
LAPENA1,18W000000000RT7L,LAPENA1,UF SOLAR LA PENA 1,Solar fotovoltaica,NEXU,FLPENA1,"40,0"
LAPENA2,18W000000000RT8J,LAPENA2,UF SOLAR LA PENA2,Solar fotovoltaica,NEXU,FLPENA2,"40,0"
LARFW,18W000000000OC5E,LARFW,LARFW,Solar fotovoltaica,GNRA,FVGNRA,"1,4"
LARISA,18WLARISA-1234-X,LARISA,P.E. LA RISA,Eólica terrestre,HC G,HCGSIHA,"12,0"
LAROUCO,18WLAROUCO-12-ET,LAROUCO,P. E. LAROUCO,Eólica terrestre,IBGES,EHIBGES,"41,6"
LARRAL,18W000000000RPHD,LARRAL,UF SOLAR LARRAL,Solar fotovoltaica,NEXU,FLARRAL,"40,0"
LARRIH,18WLARRIH-123--T,LARRIH,P. E. LARRIBA - HORNILLOS,Eólica terrestre,IBGES,EMCIBGE,"32,0"
LARUYA,18WLARUYA-1234-7,LARUYA,18WLARUYA-1234-7,Eólica terrestre,EGLE,EERUYA,"1,6"
LAS1,18WLAS1-12345-AN,LASPUÑA 1,LASPUÑA 1,Embalse,ENDG,EBRACC1,"7,1"
LAS2,18WLAS2-12345-AD,LASPUÑA 2,LASPUÑA 2,Embalse,ENDG,EBRACC1,"7,1"
LASARDA,18W000000000SG5N,LASARDA,PE LAS SARDAS,Eólica terrestre,HC G,HCGSIHA,"20,0"
LASBRIS,18W000000000RT5P,LASBRIS,UF SOLAR LAS BRISAS,Solar fotovoltaica,NEXU,FBRISAS,"2,4"
LASE,18W000000000NWPT,LASE,LASE,Solar fotovoltaica,GNRA,FVGNRA,"1,5"
LASLANA,18W000000000L9K5,LASLANA,UF LASLANA,Solar fotovoltaica,NEXU,FLSOLAN,"6,0"
LASMAJA,18W000000000Q6RH,LASMAJA,PE LAS MAJAS,Eólica terrestre,WMARK,ELASMAJ,"49,5"
LASMINA,18WLASMINA-123-Q,LASMINA,18WLASMINA-123-Q,Fluyente,EGLE,HCMINE,"1,7"
LASORDA,18WLASORDA-123-5,LASORDA,18WLASORDA-123-5,Eólica terrestre,EGLE,EMTORR,"6,6"
LASOTON,18W000000000T961,LASOTON,CH SOTONERA,Hidráulica - No UGH,EGLE,HRIEAG,"4,0"
LASP,18WLASP-12345-A5,PORTAS,LAS PORTAS,Fluyente,IBEG,SIL,"0,3"
LASSJ,18W000000000QYA4,LASSJ,LASSJ,Solar fotovoltaica,GNRA,UPLAS,"2,4"
LASTR2,18W000000000NZZ0,LSTRS,LASTRA2,Solar fotovoltaica,GESTE,FLASTR2,"35,0"
LASTRA,18WLASTRA-123--A,LASTRA,PARQUE EÓLICO LA LASTRA,Eólica terrestre,EGLE,ELBOGA,"11,6"
LASVAG,18W000000000QBUX,LASVAG,LASVAG,Solar fotovoltaica,HISPE,FLASVAG,"10,0"
LASVIN,18WLASVIN-1234-Q,LASVIN,P. E. LAS VIÑAS,Eólica terrestre,IBGES,EHIBGES,"38,4"
LATINF,18W000000000T0G8,UF LATIN,UF LATIN,Derivados del petróleo o carbón,GEMSL,TLATINF,"6,4"
LATORRE,18WPE-LA-TORRE-A,LATORRE,LATORRE,Eólica terrestre,EGED,EGREEN,"16,0"
LAUCCX1,18W000000000APVG,PORGENC,PORT_GEN_CMPRA,Porfolio,LAUEI,LAUCCX1,"9.999,0"
LAUCVX1,18W000000000APUI,PORGENV,PORT_GEN_VNTA,Porfolio,LAUEI,LAUCVX1,"9.999,0"
LAUEC01,18W-LAUEC01-7--1,LAUEC01 CO,"LA UNIÓN ELECTRO INDUSTRIAL, S",Comercializadores mercado libre,LAUEI,LAUEC01,"15,0"
LAURUS,18W000000000QAVY,LAURUS,UF SOLAR LAURUS,Solar fotovoltaica,NEXU,FABLITA,"2,0"
LAV1,18WLAV1-12345-AR,LAVIANA 1,LAVIANA 1,Fluyente,HC G,HCHI,"0,3"
LAV2,18WLAV2-12345-AH,LAVIANA 2,LAVIANA 2,Fluyente,HC G,HCHI,"0,3"
LAV3,18WLAV3-12345-A7,LAVIANA 3,LAVIANA 3,Fluyente,HC G,HCHI,"0,3"
LAVAC01,18W000000000NXUG,LA VALL,LA VALL COMERCIALIZADORA ELECT,Comercializadores mercado libre,LAVAL,LAVAC01,"3,0"
LAVEGA1,18WLAVEGA1-12--B,LAVEGA1,PE LA VEGA I,Eólica terrestre,GNCO,EGASNE1,"5,0"
LAVEGA2,18WLAVEGA2-123-T,LAVEGA2,P.E. LA VEGA II,Eólica terrestre,GNCO,EGASNE1,"5,0"
LAVERNE,18WLAVERNE-123-1,LAVERNE,18WLAVERNE-123-1,Fluyente,EGLE,HLAVERN,"1,4"
LAVINYA,18W000000000T11Z,LA VINYA,PS LA VINYA,Solar fotovoltaica,SOMEN,SENFV1,"1,9"
LAYNA,18WLAYNA-12345-D,LAYNA,ALTO LAYNA,Eólica terrestre,IBGES,EHIBGES,"50,0"
LAZAN,18WLAZAN-12345-F,LAZAN,LAZAN,Eólica terrestre,IBGES,EHIBGES,"4,9"
LAZAR,18WLAZAR-12345-G,LAZAR,P. E. LOMA DE LAZARO,Eólica terrestre,EGED,EGREEN,"16,0"
LBANEZA,18W000000000RU4O,LBANEZA,LA BAÑEZA,Gas natural cogeneración,EGLE,TAZUCAR,"12,8"
LBAT,18WLBAT-12345-A3,BATANEJOS,LOS BATANEJOS,Fluyente,BARER,LBAT,"0,6"
LBTSP,18W000000000RRI5,LBTSP,LBTSP,Solar fotovoltaica,GNRA,LOBOH,"28,0"
LCA1,18WLCA1-12345-AC,CANTOS 1,LOS CANTOS 1,Fluyente,DUFER,HDXT01,"2,3"
LCA2,18WLCA2-12345-A2,CANTOS 2,LOS CANTOS 2,Fluyente,DUFER,HDXT01,"2,4"
LCASTRO,18WLCASTRO-123-M,LCASTRO,UF EL CASTRO F2,Fluyente,GNRA,HCASTRO,"1,4"
LCOCB,18W000000000SUJR,LCOCB,LCOCB,Solar fotovoltaica,GNRA,FVGNRA,"8,0"
LCOSC01,18W000000000JY71,LCOSC01,LOW COST 01,Comercializadores mercado libre,LCOST,LCOSC01,"40,0"
LDGIC01,18W-LDGIC0184--2,LDGIA,LDGIA,Comercializadores mercado libre,LDGIA,LDGIC01,"0,1"
LDO1,18WLDO1-12345-AV,DORNAJOS 1,LOS DORNAJOS 1,Fluyente,BARER,BERJUCA,"0,8"
LDO2,18WLDO2-12345-AL,DORNAJOS 2,LOS DORNAJOS 2,Fluyente,BARER,BERJUCA,"0,8"
LDOFW,18W000000000P36Z,LDOFW,LDOFW,Solar fotovoltaica,GNRA,FVGNRA,"1,2"
LEB1,18WLEB1-12345-AE,LEBOREIR 1,LEBOREIRO 1,Embalse,GNFG,UFGC,"1,1"
LEB2,18WLEB2-12345-A4,LEBOREIR 2,LEBOREIRO 2,Embalse,GNFG,UFGC,"1,1"
LEBAIKO,18W000000000T767,LEBAIKO,UF SOLAR LEA ARTIBAIKO,Solar fotovoltaica,NEXU,FLEAIKO,"0,9"
LEBOREI,18WLEBOREI-12-EP,LEBOREI,P.E. LEBOREIRO,Eólica terrestre,ECYR,EEGPEM,"21,1"
LEBRETE,18WLEBRETE-123-1,LEBRETE,UF EL CULEBRETE,Biogás,GNRA,RCULEBR,"1,4"
LEBRIJA,18WLEBRIJA-12--B,LEBRIJA,PLANTA TERMOSOLAR LEBRIJA,Solar térmica,NEXU,STSOLUC,"49,9"
LECRIN,18WLECRIN-1234-9,LECRIN,LECRIN,Eólica terrestre,EBLCO,ERIANSA,"11,3"
LEDCC01,18W0000000001V2I,LCE COMPRA,LEDESMA COMERCIALIZADORA UNIDA,Comercializadores mercado libre,LEDCE,LEDCC01,"0,1"
LEGAC01,18W000000000F4QW,ELEGA UP,ELEGA UNIDAD DE PROGRAMACION,Comercializadores mercado libre,ELEGA,LEGAC01,"0,0"
LEI1,18WLEI1-12345-AB,LEIZA 1,LEIZA 1,Fluyente,IBEG,EBRA,"0,5"
LEI2,18WLEI2-12345-A1,LEIZA 2,LEIZA 2,Fluyente,IBEG,EBRA,"0,4"
LEIRA,18W000000000T1DB,LEIRA,UF HIDRO LEITA,Fluyente,NEXU,HLEIRA,"1,4"
LEONC01,18W000000000RXHQ,LECOMUP,ESLECOMUP,Comercializadores mercado libre,LEONC,LEONC01,"0,0"
LERC01,18W-LERC01-34--O,LERC01,LERC01,Comercializadores mercado libre,LER,LERC01,"7,0"
LERIN,18WLERIN-12345-C,LERIN,C.H. LERÍN,Fluyente,EGED,HFEGED,"1,1"
LESROTE,18WLESROTE-123-K,LESROTE,18WLESROTE-123-K,Eólica terrestre,EBLCO,ELESROT,"44,0"
LEYREN2,18W000000000RY92,LEYREN2,UF SOLAR LEYRENE 2,Solar fotovoltaica,NEXU,FLEMAZR,"1,6"
LEYRENE,18W000000000RY76,LEYRENE,UF SOLAR LEYRENE,Solar fotovoltaica,NEXU,FLENOEZ,"1,4"
LEZ1,18WLEZ1-12345-A9,LEIZARAN,LEIZARAN,Fluyente,IBEG,EBRA,"3,5"
LFA1,18WLFA1-12345-AD,FAYOS 1,LOS FAYOS 1,Fluyente,IBEG,EBRA,"0,1"
LFA2,18WLFA2-12345-A3,FAYOS 2,LOS FAYOS 2,Fluyente,IBEG,EBRA,"0,1"
LFAESP,18W000000000TSAA,LFAESP,LFAESP,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
LFLECHA,18WLFLECHA-123-3,LFLECHA,18WLFLECHA-123-3,Fluyente,EGLE,HVADOC,"0,9"
LFUE,18WLFUE-12345-AX,FUENROSAR,FUENROSARIO,Fluyente,IBEG,DUER,"0,1"
LG08MC,18W000000000OTAR,LG08MC,LG08MC,Comercializadores mercado libre,FORTI,FORTR01,"1,0"
LG08VL,18W000000000OTCN,LG08VL,LG08VL,Comercializadores mercado libre,FORTI,FORTR01,"1,0"
LGA1,18WLGA1-12345-A1,GVILANES 1,LOS GAVILANES 1,Fluyente,ASIE,ASITAJ,"0,5"
LGA2,18WLGA2-12345-AS,GVILANES 2,LOS GAVILANES 2,Fluyente,ASIE,ASITAJ,"0,5"
LGOS,18WLGOS-12345-AL,GOSALVEZ,LA GOSALVEZ,Fluyente,BARER,BERJUCA,"0,7"
LGR1,18WLGR1-123456-0,LGR1,LAS GRAJAS 1,Fluyente,CTNU,JUCAR2,"0,2"
LGR2,18WLGR2-123456-R,LGR2,LAS GRAJAS 2,Fluyente,CTNU,JUCAR2,"0,1"
LGUIJO1,18WLGUIJO1-123-I,LGUIJO1,P.E. EL GUIJO I,Eólica terrestre,EBLCO,ELGUIJ1,"38,0"
LGUIJO2,18WLGUIJO2-123-B,LGUIJO2,P.E. EL GUIJO II,Eólica terrestre,EBLCO,ELGUIJ1,"26,0"
LHID,18WLHID-12345-A3,LA HIDRO,LA HIDRO,Fluyente,ENDG,EBRACC1,"0,9"
LIDEC01,18W000000000KACM,LIDEC01,LIDEC01,Comercializadores mercado libre,LIDER,LIDEC01,"0,1"
LIDEV01,18W000000000O69O,LIDEV01,LIDEV01,Solar fotovoltaica,LIDER,LIDEV01,"2,8"
LILL,18WLILL-12345-AQ,LES ILLES,LES ILLES,Fluyente,ENDG,EBRFEN,"0,9"
LIMSAM,18W000000000P3PY,LIMSAM,UF LIMSAM,Biogás,NEXU,RRUICES,"3,1"
LIN1,18WLIN1-12345-AJ,LINARES 1,LINARES DEL ARR.I-A,Embalse,GNFG,UFTA,"0,9"
LIN2,18WLIN2-12345-A9,LINARES 2,LINARES DEL ARR.II-A,Embalse,GNFG,UFTA,"0,8"
LINARES,18WLINARES-123-7,LINARES,18WLINARES-123-7,Fluyente,EGLE,HLOURG,"5,0"
LINASA,18WLINASA-1234-O,LINASA,LINASA,Gas natural cogeneración,DETIC,COGLINA,"9,8"
LINAZAR,18W000000000V2FX,LINAZAR,LINAZAR,Consumos directos en mercado,LINAM,LINAR01,"2.000,0"
LIND01,18W000000000QOAY,LIND01,LIND01,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
LINERA,18WLINERA-1234-U,LINERA,LINERA,Eólica terrestre,IBGES,EHIBGES,"28,0"
LINGOT,18W000000000OUL2,LINGOT,LINGOT,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
LINKC01,18W000000000QZR4,UPLINKPEN,UP LINK PENINSULA,Comercializadores mercado libre,LINKE,LINKC01,"10,0"
LIPMES,18W000000000HNCW,LIPMES,LIPMES,Solar fotovoltaica,RSPRA,FFRSPRA,"1,9"
LIRIOS,18WLIRIOS-1234-E,LIRIOS,P.E. LOS LIRIOS,Eólica terrestre,IBGES,EHIBGES,"48,0"
LISOLAR,18W000000000TQ3U,LISOLAR,LIRIOS SOLAR,Solar fotovoltaica,EGLE,FCASTU,"88,0"
LITTC,18W000000000T03Y,LITTC,LITTC,Solar fotovoltaica,GNRA,UPLIT,"10,0"
LIUPC01,18W-LIUPC01-1--N,LIUP,LIGHT UP SL,Comercializadores mercado libre,LIUP,LIUPC01,"0,1"
LLAD,18WLLAD-12345-A6,LLADRES,LLADRES,Fluyente,ENDG,EBRFEN,"0,8"
LLANO,18WLLANO-12345-J,LLANO,LLANOS DE MOJANA,Gas natural cogeneración,CEG,TCUALIN,"7,8"
LLANO1,18W000000000P87I,LLANO1,FV LLANO1,Solar fotovoltaica,CEG,FLLANO1,"42,2"
LLANO2,18W000000000P89E,LLANO2,LLANO2,Solar fotovoltaica,CEG,FLLANO2,"42,2"
LLANO3,18W000000000P8AC,LLANO3,LLANO3,Solar fotovoltaica,CEG,FLLANO3,"40,2"
LLANOS,18WLLANOS-123-EQ,LLANOS,P.E. LLANOS,Eólica terrestre,GNCO,EGASNE1,"33,4"
LLANOSF,18W000000000U7UT,LOS LLANOS,LOS LLANOS FV,Solar fotovoltaica,ELEIA,LLANOSF,"3,2"
LLAPR,18W000000000P8BA,LLAPR,LLAPR,Solar fotovoltaica,GNRA,UPLLAP,"2,1"
LLBSP,18W000000000LD9F,LLBSP,LLBSP,Solar fotovoltaica,GNRA,FVGNRA,"1,2"
LLBSP1,18W000000000LD8H,LLBSP1,LLBSP1,Solar fotovoltaica,GNRA,FVGNRA,"5,2"
LLEI,18WLLEI-12345-AN,LLEIDA,LERIDA,Fluyente,ENDG,EBRFEN,"11,8"
LLERPR,18WLLERPR-1234-U,LLERPR,UNIDAD FISICA LLERPROTEIN,Gas natural cogeneración,AME,TLLERPR,"7,7"
LLICB,18W000000000RX95,LLICB,LLICB,Solar fotovoltaica,GNRA,UPLLIC,"4,0"
LLIRIA,18W000000000V0PJ,LLIRIA,UF SOLAR LLIRIA,Solar fotovoltaica,NEXU,FLLIRIA,"6,4"
LLLANOS,18WPE-LOSLLANOSZ,LLLANOS,P.E. LOS LLANOS,Eólica terrestre,ECYR,EEGPES,"38,0"
LLO1,18WLLO1-12345-A9,LOSA 1,LA LOSA 1,Fluyente,BARER,LLO1,"0,1"
LLO2,18WLLO2-12345--L,LOSA 2,LA LOSA 2,Fluyente,BARER,LLO2,"0,1"
LLO3,18WLLO3-12345-AQ,LOSA 3,LA LOSA 3,Fluyente,BARER,LLO3,"0,1"
LLSMART,18WLLSMART-12-E5,LLSMART,P.E. LLANOS DE SAN MARTÍN,Eólica terrestre,HC G,EBRUJUL,"14,4"
LLV1,18WLLV1-12345-A6,LLAVORSI 1,LLAVORSI CARDOS 1,Embalse,ENDG,EBRFEN,"26,0"
LLV2,18WLLV2-12345-AX,LLAVORSI 2,LLAVORSI CARDOS 2,Embalse,ENDG,EBRFEN,"26,0"
LMA1,18WLMA1-12345-A3,MANCHEGA,LA MANCHEGA,Fluyente,BARER,LMA1,"0,5"
LMA7AH,18W000000000U8N3,LMA7AH,LMA7AH,Híbrida Renovable,REPSB,EREPSOH,"60,6"
LMA7BH,18W000000000U8O1,LMA7BH,LMA7BH,Híbrida Renovable,REPSB,EREPSOH,"60,6"
LMA7CH,18W000000000U8QY,LMA7CH,LMA7CH,Híbrida Renovable,REPSB,EREPSOH,"60,6"
LMA7DH,18W000000000U8RW,LMA7DH,LMA7DH,Eólica terrestre,REPSB,EREPSOH,"70,6"
LMA7EH,18W000000000U8SU,LMA7EH,LMA7EH,Híbrida Renovable,REPSB,EREPSOH,"22,3"
LMARINA,18WLMARINA-123-U,LMARINA,UF LA MARINA,Biomasa,GNRA,RMARINA,"1,9"
LMERC01,18WLMERC01UF---I,LMERC01,"LONJAS TECNOLOGÍA, S.A. COMPRA",Comercializadores mercado libre,LMER,LMERC01,"0,5"
LMI1,18WLMI1-12345-AQ,MILAGROS 1,LA MILAGROSA 1,Fluyente,IBEG,TAJO,"0,1"
LMI2,18WLMI2-12345-AG,MILAGROS 2,LA MILAGROSA 2,Fluyente,IBEG,TAJO,"0,1"
LMI3,18WLMI3-12345-A6,MILAGROS 3,LA MILAGROSA 3,Fluyente,IBEG,TAJO,"0,6"
LMJ1,18W000000000QS9O,LMJ1,LMJ1,Eólica terrestre,REPSB,EARTIG,"92,6"
LMM1,18WLMM1-12345-AJ,MARMOTA 1,LA MARMOTA 1,Fluyente,BARER,LMM1,"0,2"
LMM2,18WLMM2-12345-A9,MARMOTA 2,LA MARMOTA 2,Fluyente,BARER,LMM2,"0,2"
LMONJAS,18WLMONJAS-123-X,LMONJAS,P.E. LAS MONJAS,Eólica terrestre,NEXU,EMONJAS,"34,0"
LMPVB,18W000000000T0AK,LMPVB,LMPVB,Eólica terrestre,GNRA,UPLMP,"38,5"
LMUELAI,18W000000000SPPU,LMUELAI,P.E. LA MUELA I-SANTIUSTE,Eólica terrestre,EGLE,EDENCA,"25,4"
LMURAGE,18W000000000TC04,LMURAGE,UF SOLAR ALMORAUGE,Solar fotovoltaica,NEXU,FALMUGE,"1,0"
LMZEP,18W000000000V0V7,LMZEP,LMZEP,Solar fotovoltaica,GNRA,UPALMZ,"36,3"
LNAVARA,18WLNAVARA-123-I,LNAVARA,UF LA MARINA,Biogás,GNRA,RNAVARA,"5,7"
LNU1,18WLNU1-12345-AU,NUEVOS 1,LOS NUEVOS 1,Fluyente,BARER,LNU1,"0,1"
LNU2,18WLNU2-12345-AK,NUEVOS 2,LOS NUEVOS 2,Fluyente,BARER,LNU2,"0,3"
LNZ1,18WLNZ1-12345-AC,LANUZA 1,LANUZA 1,Embalse,ENDG,EBRACC1,"26,9"
LNZ2,18WLNZ2-12345-A2,LANUZA 2,LANUZA 2,Embalse,ENDG,EBRACC1,"25,7"
LOARCOS,18W000000000F5RR,LOS ARCOS,PE LOS ARCOS,Eólica terrestre,ECYR,EEGPEV,"34,6"
LOASA,18W000000000TJWU,LOASA,LOASA,Solar fotovoltaica,GNRA,FVGNRA,"1,2"
LOAYALA,18WLOAYALA-123-O,LOAYALA,PARQUE EÓLICO LOMA DE AYALA,Eólica terrestre,CEG,EULAYAL,"19,5"
LOBALB,18W000000000OXTE,LOBALB,LOBALB,Solar fotovoltaica,GNRA,FVGNRA,"2,7"
LOBOC01,18W-LOBOC01-6--P,EL LOBO,EL LOBO,Consumos directos en mercado,LOBO,LOBOC01,"0,9"
