codigo_de_uf,codigo_eic,descripcion_corta,descripcion_larga,tipo_de_produccion,vinculacion_con_sm,vinculacion_con_up,potencia_maxima_mw
SRUBIO,18WSRUBIO-123-EY,SRUBIO,P.E. SERRA DE RUBIO,Eólica terrestre,EGED,EGREEN,"49,5"
SRVGC01,18W-SRVGC01-1--M,GASHOGAR15,GASHOGAR15,Comercializadores mercado libre,SRVGS,SRVGC01,"50,0"
SRVIC01,18W000000000SHKR,SRVI,SERVINERGIA,Comercializadores mercado libre,SERV,SRVIC01,"1,0"
SS41AL,18W000000000OSN4,SS41AL,SS41AL,Comercializadores mercado libre,FORTI,FORTR01,"1,0"
SSEECP3,18W000000000T2NP,COMPRA_F,COMPRA_FRANCIA,Importación Francia,SSEEN,SSEECP3,"20,0"
SSEEVP3,18W000000000T2MR,VENTA_F,VENTA_FRANCIA,Exportación Francia,SSEEN,SSEEVP3,"20,0"
SSFCER,18W000000000TSPH,SSFCER,SSFCER,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
SSFHAT,18W000000000TYN3,SSFHAT,SSFHAT,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
SSFLIR,18W000000000TYO1,SSFLIR,SSFLIR,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
SSFVIL,18W000000000TSQF,SSFVIL,SSFVIL,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
SSL1,18WSSL1-12345-AF,SANTSIL 1,SANTIAGO-SIL 1,Embalse,IBEG,SIL,"7,4"
SSL2,18WSSL2-12345-A5,SANTSIL 2,SANTIAGO-SIL 2,Embalse,IBEG,SIL,"7,4"
SSVAN,18W000000000MSHO,SSVAN,SSVAN,Solar fotovoltaica,GNRA,FVSSVAN,"40,0"
ST4-UF,18WST4-UF-1234-P,ST4 PARC,ST4 PAR ALBA,Gas natural cogeneración,LMER,ST4,"9,7"
STA1,18WSTA1-12345-AD,STA.ANA 1,SANTA ANA 1,Embalse,ENDG,EBRFEN,"15,0"
STA2,18WSTA2-12345-A3,STA.ANA 2,SANTA ANA 2,Embalse,ENDG,EBRFEN,"15,0"
STAQC01,18W0000000004VZE,S COLOMA,ELEC MUN S COLOMA DE QUERALT,Comercializadores mercado libre,STACO,STAQC01,"1,6"
STBUTQ,18WSTBUTQ-1234-3,STBUTQ,SECADERO TÉRMICO BUTARQUE,Gas natural cogeneración,CEG,TBUTARQ,"18,0"
STC4,18WSTC4-12345-CV,SANTURCE 4,SANTURCE (G.4),Ciclo combinado,IBGT,STC4,"396,4"
STE1,18WSTE1-12345-A6,S.TERESA 1,SANTA TERESA 1,Embalse,IBEG,DUER,"10,3"
STE2,18WSTE2-12345-AX,S.TERESA 2,SANTA TERESA 2,Embalse,IBEG,DUER,"10,3"
STENBA,18WSTENBA-123-DL,STENBA,STENBA,Gas natural cogeneración,EGLE,TSTENBA,"46,0"
STEV,18W000000000SAL9,STEV,STEV,Eólica terrestre,REPSB,ESTEV,"31,0"
STIB,18WSTIB-12345-AA,S.TIBURCIO,SAN TIBURCIO,Fluyente,ASIE,MHLRMER,"1,3"
STINC01,18W0000000001UYV,STINC01,STIN UNIDAD COMERCIALIZACION,Comercializadores mercado libre,STIN,STINC01,"1,0"
STLLMA,18W000000000TSOJ,STLLMA,STLLMA,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
STLLVI,18W000000000V476,STLLVI,STLLVI,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
STLLZA,18W000000000V468,STLLZA,STLLZA,Comercializadores mercado libre,ENDCO,ENDER01,"1,0"
STMCOG,18W000000000S22Y,STMCOG,STMCOG,Comercializadores mercado libre,SHELL,SESAR01,"1,0"
STMMIN,18W000000000S23W,STMMIN,STMMIN,Comercializadores mercado libre,SHELL,SESAR01,"1,0"
STODC,18W000000000QX7D,STODC,STODC,Solar fotovoltaica,GNRA,FVGNRA,"2,0"
STOMAS,18W000000000QKD3,STOMAS,UF SOLAR ST TOMAS,Solar fotovoltaica,NEXU,FSTOMAS,"17,2"
STROC01,18W-STROC01-5--Q,STROC1,STROC1,Comercializadores mercado libre,STROM,STROC01,"0,1"
STROV01,18W000000000VI9Y,STROV01,VENTA STROM,0,STROM,STROV01,"0,1"
SUCAC01,18W0000000006ZNI,SUCAS,SUCA SOCIEDAD COOPERATIVA,Comercializadores mercado libre,SUCAS,SUCAC01,"3,0"
SUESO,18W000000000JNJA,SUESO,SUESO,Solar fotovoltaica,GNRA,UPLSU,"1,5"
SULAC01,18W-SULAC01-1--W,SULAYR,SULAYR GLOBAL SERVICE,Consumos directos en mercado,SULA,SULAC01,"0,7"
SUMAC01,18W000000000IAAY,SUMAE,SUMA ENERGIA SL,Comercializadores mercado libre,SUMAE,SUMAC01,"0,6"
SUNAC01,18W-SUNAC01-3--4,SUNAIR ONE,SUNAIR ONE,Comercializadores mercado libre,SUNAI,SUNAC01,"0,1"
