up_code,up_name_final,legal_entity,group_name,group_confidence,ownership_pct,ownership_pct_numeric,owner_count,technology,unit_type_omie,zone_omie,uf_count,uf_codes,uf_names,subject_code,mapping_source,group_source_url
AGENC01,AGENC01,"AB ENERGÍA 1903, S.L.U.",,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,AGENC01,AGENC01,ABESL,eSIOS UP + OMIE exact code + eSIOS UF,
AGENVD2,RE TARIFA CON REPRESENTANTE,"AE3000 AGENT COMERCIALITZADOR, S.L.",,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
AGERC04,ASTURAGUA SICA,GRUPO ENERGÉTICO ASECOR S.L,,,100,100.0,1,Compras Consumo Directo,CONSUMIDOR DIRECTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
AGERC10,ONS CON,GRUPO ENERGÉTICO ASECOR S.L,,,100,100.0,1,Compras Consumo Directo,CONSUMIDOR DIRECTO,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
AGERE01,VENTA FRAILES,GRUPO ENERGÉTICO ASECOR S.L,,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
AGERGDL,SERVIÇOS SISTEMA,"GESTO COMERCIALIZACAO DE ENERGIA, UNIPESSOAL LDA",,,100,100.0,1,RE Tarifa CUR (uof),GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,
AGEVD01,VENTA PEL CONG,GRUPO ENERGÉTICO ASECOR S.L,,,100,100.0,1,RE Mercado Térmica no,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
AGLC02,UNIDADE DE COMPRA,AGORALUZ ENERGIA LDA,,,100,100.0,1,Comercializador,COMERCIALIZADOR,ZONA PORTUGUESA,,,,,OMIE exact unit code,
AGMAC01,AGMARQUES,AGUAS DEL MARQUESADO,,,100,100.0,1,Consumos directos en mercado,CONSUMIDOR DIRECTO,ZONA ESPAÑOLA,1.0,AGMAC01,AGMARQUES,AGMA,eSIOS UP + OMIE exact code + eSIOS UF,
AGPRCTI,CENTRO INTERIOR,PETROGAL SA,Galp,derived_from_legal_name,100,100.0,1,RE Tarifa CUR (uof),GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.galp.com/
AGPRCTL,ACTL VENDA,PETROGAL SA,Galp,derived_from_legal_name,100,100.0,1,RE Tarifa CUR (uof),GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.galp.com/
AGPRSUL,ASUL VENDA,PETROGAL SA,Galp,derived_from_legal_name,100,100.0,1,RE Tarifa CUR (uof),GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.galp.com/
AGPRTMD,TRÁS-OS-MONTES E DOURO LITORAL,PETROGAL SA,Galp,derived_from_legal_name,100,100.0,1,RE Tarifa CUR (uof),GENERACION,ZONA PORTUGUESA,,,,,OMIE exact unit code,https://www.galp.com/
AGRIC01,AGRIENERG,AGRI-ENERGÍA,,,100,100.0,1,Comercializadores mercado libre,COMERCIALIZADOR,ZONA ESPAÑOLA,1.0,AGRIC01,AGRIC01,AGREN,eSIOS UP + OMIE exact code + eSIOS UF,
AGRRE01,AGRRE01,"AGRI-ENERGÍA, S.A.",,,100,100.0,1,RE Mercado Hidráulica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
AGRRE02,VENTA SOLAR FOTOVOLTAICA,"AGRI-ENERGÍA, S.A.",,,100,100.0,1,RE Mercado Solar Fotovoltáica,GENERACION,ZONA ESPAÑOLA,,,,,OMIE exact unit code,
AGUAV,AGUASVIVAS,IGNIS COMER ELECTRICA,,,,,1,Solar fotovoltaica,,,1.0,FAGUAV,AGUASVIVAS,IGNIS,eSIOS UP + OMIE exact code + eSIOS UF,
AGUB,AGUAYO B,"REPSOL SERVICIOS RENOVABLES, S.A.",Repsol,derived_from_legal_name,100,100.0,1,Consumo bombeo,BOMBEO,ZONA ESPAÑOLA,4.0,AGU1B|AGU2B|AGU3B|AGU4B,AGUAYO 1 B|AGUAYO 2 B|AGUAYO 3 B|AGUAYO 4 B,REPSB,eSIOS UP + OMIE exact code + eSIOS UF,https://www.repsol.com/
