uf_code,uf_name,up_code,subject_code,technology_esios
IZN2,IZNAJAR 2,GDLQ,ENDG,Embalse
JAB1,JABARELL 1,EBRACC1,ENDG,Fluyente
JAB2,JABARELL 2,EBRACC1,ENDG,Fluyente
JAB3,JABARELL 3,EBRACC1,ENDG,Fluyente
JABALQU,JABALQU,TGCOOSU,DETIC,Gas natural cogeneración
JABVE,JABVE,UPJAB,GNRA,Solar fotovoltaica
JAC1,JACA 1,EBRACC1,ENDG,Fluyente
JAC2,JACA 2,EBRACC1,ENDG,Fluyente
JADRAQU,JADRAQU,FVJADRA,WMARK,Solar fotovoltaica
JALON1,JALON1,FJALON1,CEG,Solar fotovoltaica
JAMONE1,JAMONE1,EDPCR01,EDPCL,Comercializadores mercado libre
JAMONE2,JAMONE2,EDPCR01,EDPCL,Comercializadores mercado libre
JAN1,JANDULA 1,GDLQ,ENDG,Embalse
JAN2,JANDULA 2,GDLQ,ENDG,Embalse
JAN3,JANDULA 3,GDLQ,ENDG,Embalse
JANCOLI,JANCOLI,EJANCOL,NEXU,Eólica terrestre
JANDAPE,JANDAPE,EJANDAP,NEXU,Eólica terrestre
JANDSUY,JANDSUY,EJANDSU,NEXU,Eólica terrestre
JAR1,SANTJAR 1G,SIL,IBEG,Embalse
JAR1B,SANTJAR 1B,SILB,IBEG,Consumo bombeo
JAR2,SANTJAR 2G,SIL,IBEG,Embalse
JAR2B,SANTJAR 2B,SILB,IBEG,Consumo bombeo
JARA4,JARA4,EFGNRA,GNRA,Eólica terrestre
JARALES,JARALES,EUJARAL,CEG,Eólica terrestre
JARALOZ,JARALOZ,GUISGN,GUIS,Gas natural cogeneración
JARRETA,JARRETA,EPPJAR,EGLE,Eólica terrestre
JAT1,JAVIERRL 1,EBRACC1,ENDG,Fluyente
JAT2,JAVIERRL 2,EBRACC1,ENDG,Fluyente
JAU1,JAUJA 1,GDLQ,ENDG,Fluyente
JAU2,JAUJA 2,GDLQ,ENDG,Fluyente
JAU3,JAUJA 3,GDLQ,ENDG,Fluyente
JAUFIL,JAUFIL,EJAUFIL,EBLCO,Eólica terrestre
JERALTO,JERALTO,FHOTEI,EGLE,Solar fotovoltaica
JERQE,JERQE,UPJER,GNRA,Solar fotovoltaica
JGCDAIM,JGCDAIM,TEGASN,GNCO,Gas natural cogeneración
JMFEC01,JMFEC01,JMFEC01,JMFEN,Comercializadores mercado libre
JMO1,JM.ORIOL 1,TAJO,IBEG,Embalse
JMO2,JM.ORIOL 2,TAJO,IBEG,Embalse
JMO3,JM.ORIOL 3,TAJO,IBEG,Embalse
JMO4,JM.ORIOL 4,TAJO,IBEG,Embalse
JOINC01,JOINC01,JOINC01,JOIN,Consumos directos en mercado
JORGE1,JORGE MEDO,METEV03,METEN,Solar fotovoltaica
JORGEP,JORGEP,ENDER01,ENDCO,Comercializadores mercado libre
JOSEC01,JOSEC01,JOSEC01,JOSEP,Comercializadores mercado libre
JOVEC01,UP JOVE,JOVEC01,JOVE,Comercializadores mercado libre
JRONCP3,JARON EXCD,JRONCP3,JARON,Importación Francia
JRONVP3,JARON IMCD,JRONVP3,JARON,Exportación Francia
JU1136,JU1136,FJU1136,SOLRC,Solar fotovoltaica
JU2135,JU2135,FJU2135,SOLRC,Solar fotovoltaica
JUANC01,JUANX_UP,JUANC01,JUANX,Comercializadores mercado libre
JUBERAI,JUBERA I,PEJUBER,WMARK,Eólica terrestre
JUBERII,JUBERA II,PEJUBER,WMARK,Eólica terrestre
JUE1,JUEU,EBRFEN,ENDG,Fluyente
JUGLANS,JUGLANS,FABLITA,NEXU,Solar fotovoltaica
JUMSAL,JUMSAL,COGJUMS,DETIC,Gas natural cogeneración
JUNEDA,JUNEDA,RVGARR,EGLE,Biogás
JUNEDA2,JUNEDA2,TVGARR,EGLE,Gas natural cogeneración
JUNIPER,JUNIPER,FABLITA,NEXU,Solar fotovoltaica
JUNO,JUNO,DANSZN,HISPE,Eólica terrestre
JUSEC01,JUSEC01,JUSEC01,JUSEP,Comercializadores mercado libre
KAOCOR,KAOCOR,ENDER01,ENDCO,Comercializadores mercado libre
KARMC01,KARMC01,KARMC01,KARMA,Comercializadores mercado libre
KELC01,KELC01,KELC01,CALEA,Consumos directos en mercado
KEPILAS,KEPILAS,FKELLY,EGLE,Solar fotovoltaica
KERABEN,KERABEN,TKERAB,WMARK,Gas natural cogeneración
KILVC01,KILV_C,KILVC01,KILVE,Comercializadores mercado libre
KINA1,KINA1,FKGAC,GAC,Solar fotovoltaica
KINA2,KINA2,FIGAC,GAC,Solar fotovoltaica
KINEC01,KINEC01,KINEC01,KINE,Comercializadores mercado libre
KIRIC01,KIRIC01,KIRIC01,KIRIN,Comercializadores mercado libre
KODLC01,KODLC01,KODLC01,KODLC,Comercializadores mercado libre
KONYC01,KONERY,KONYC01,KONRY,Comercializadores mercado libre
KREAC01,KREAC01,KREAC01,KREAN,Comercializadores mercado libre
KRONO1,KRONO1,ENDER01,ENDCO,Comercializadores mercado libre
KRONO2,KRONO2,ENDER01,ENDCO,Comercializadores mercado libre
KRONO3,KRONO3,ENDER01,ENDCO,Comercializadores mercado libre
