codigo_de_up,descripcion_corta,descripcion_larga,codigo_eic,tipo_de_produccion,negocio,ambito_de_actuacion,zona_de_regulacion,tipo_de_up,sujeto_del_mercado,potencia_maxima_mw
UPAIRPO,UPAIRPORT,UP SOLAR AIRPORT FV 1133327,18W000000000RR7R,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"43,6"
UPAL20,UPALCON20,UP ALCONCHEL 2020,18W000000000UWZI,Solar fotovoltaica,Venta,España,SZR,Generación,IGNIS,"9,8"
UPAL21,UPALCAN21,UP ALCANCHON 2021,18W000000000UX19,Solar fotovoltaica,Venta,España,SZR,Generación,IGNIS,"5,0"
UPALAMB,ALAMBOR SO,ALAMBOR SOLAR SLU,18W000000000SE7P,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"44,5"
UPALC1,UPALC1,UPALC1,18W000000000SY1E,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"43,2"
UPALC2,UPALC2,UPALC2,18W000000000SY2C,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"27,1"
UPALDEA,UPALDEA,UPALDEA,18W000000000SY0G,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"4,8"
UPALFOZ,ALFOZ,ELICA DEL ALFOZ SL,18W000000000Q2YF,Eólica terrestre,Venta,España,SZR,Generación,IGNIS,"112,0"
UPALG1,UPGUADA1,UP ALCALA GUADAIRA 1,18W000000000T4FZ,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"10,0"
UPALG2,UPGUADA2,UP ALCALA GUADAIRA 2,18W000000000T4HV,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"2,7"
UPALMAN,UP ALMANSO,ERG SOLAR ALMANSA SLU,18W000000000SMUT,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"42,0"
UPALME,UPALMENDRO,UP ALMENDRO SOLAR,18W000000000T4ZW,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"46,2"
UPALMON,UPALMON,UPALMON,18W000000000VGJK,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"4,7"
UPALMZ,UPALMZ,UPALMZ,18W000000000V0QH,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"36,3"
UPALTE2,UP ALTER 2,UP ALTER ENERSUN MRIDA DOS SL,18W000000000RQFE,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"10,8"
UPALTE3,UP ALTER 3,UP ALTER ENERSUN CCERES TRES SL,18W000000000RQEG,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"24,2"
UPAMB,UPAMB,UPAMB,18W000000000T8FN,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"4,3"
UPANDEL,UP ANDELLA,UP PE ANDELLA,18W000000000RQGC,Eólica terrestre,Venta,España,IGS ,Generación,IGNIS,"48,2"
UPANT,UPANT,UPANT,18W000000000S8MD,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"45,0"
UPARB,UPARB,UPARB,18W000000000UOF8,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"9,0"
UPARCH2,UPARCHO II,UP MATILDE SOLAR SL,18W000000000S7A3,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"43,5"
UPARCHI,UP ARCHO I,UP IRINEO INERGIA SL,18W000000000S787,Solar fotovoltaica,Venta,España,IGR ,Generación,IGNIS,"43,5"
UPARCKG,UPARCKG,UPARCKG,18W000000000SGIY,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"39,2"
