codigo_de_up,descripcion_corta,descripcion_larga,codigo_eic,tipo_de_produccion,negocio,ambito_de_actuacion,zona_de_regulacion,tipo_de_up,sujeto_del_mercado,potencia_maxima_mw
FMATAS,FMATAS,UP SOLAR MATAS,18W000000000P9HW,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,2"
FMBAIDA,FMBAIDA,UP SOLAR MIRALBAIDA 15,18W000000000SYUU,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,5"
FMCHENA,FMCHENA,UP SOLAR MARCHENA,18W000000000U1IY,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,8"
FMED107,FMED107,FMED107,18W000000000TZRT,Solar fotovoltaica,Venta,España,SZR,Generación,SOLRC,"24,9"
FMERI19,FMERI19,UF SOLAR MERIDA SOLAR 19,18W000000000RXS4,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"5,0"
FMFEN,FOT 1MW,FOT MAYORES 1MW,18WFMFEN-12345-I,Solar fotovoltaica,Venta,España,SZR,Generación,FEN,"52,9"
FMGQILA,FMGQILA,UP SOLAR MAGASQUILLA,18W000000000VH82,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"3,5"
FMILGRO,FMILGRO,FMILGRO,18W000000000IPVL,Solar fotovoltaica,Venta,España,SZR,Generación,GESTE,"7,0"
FMIM152,FMIM152,FMIM152,18W000000000UDZ1,Solar fotovoltaica,Venta,España,SZR,Generación,SOLRC,"40,0"
FMIRAMU,FMIRAMU,UP FV MIRAMUNDO,18W000000000FT8U,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"45,8"
FMIRBNA,FMIRBNA,FMIRBNA,18W000000000VH58,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"5,7"
FMISTRA,FMISTRA,UP SOLAR LOS MISTRALES,18W000000000PR44,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"3,3"
FMNZARS,MNZS,MNZANRES,18W000000000QR32,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"30,0"
FMOJADO,FMOJADO,FMOJADO,18W000000000SKLG,Solar fotovoltaica,Venta,España,EVM ,Generación,CEG,"4,6"
FMOLINO,FMOLINO,UP SOLAR CAÑADA MOLINO,18W000000000PK3R,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,4"
FMONTE,FMONTE,18W000000000UGLK,18W000000000UGLK,Solar fotovoltaica,Venta,España,SZR,Generación,EGLE,"38,9"
FMONTES,FMONTESOL,UP FV MONTESOL,18W000000000IG6O,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"40,0"
FMONTFV,FMONTFV,UP FV MONTILLA FOTOVOLTAICA,18WFMONTFV-123-Y,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"7,1"
FMORALA,FMORALA,FMORALA,18W000000000RFAK,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"5,0"
FMRIERO,FMRIERO,UP SOLAR MERINERO,18W000000000UCRK,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"30,0"
FMRPANI,FMRPANI,UP SOLAR MARPANI,18W000000000QB4B,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"42,2"
FMUELLE,FMUELLE,UP FV MUELLE,18W000000000I9FR,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"9,0"
FMYRTE1,FMYRTE1,FMYRTE1,18W000000000TEX6,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"34,6"
FNARGS,FNARGS,18W000000000MZZ4,18W000000000MZZ4,Solar fotovoltaica,Venta,España,AXPO ,Generación,EGLE,"39,8"
FNAVA1,FNAVA1,FNAVA1,18W000000000TDQN,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"38,0"
FNAVA2,FNAVA2,FNAVA2,18W000000000TB7U,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"7,0"
FNAVALM,NAVALMORAL,PARQUE FV NAVALMORALES,18W000000000PX9D,Solar fotovoltaica,Venta,España,SZR,Generación,EBLCO,"6,6"
FNAVAR,FNAVARR,FNAVARRA,18W000000000B7N8,Solar fotovoltaica,Venta,España,SZR,Generación,GESTE,"1,0"
FNAVID,FNAVID,18W000000000MZY6,18W000000000MZY6,Solar fotovoltaica,Venta,España,AXPO ,Generación,EGLE,"39,8"
FNEFTI,FNEFTI,18W000000000MZX8,18W000000000MZX8,Solar fotovoltaica,Venta,España,AXPO ,Generación,EGLE,"39,8"
FNEOSOL,FNEOSOL,FNEOSOL,18W000000000TEOO,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"9,0"
FNIJAR,FNIJAR,18W000000000VAOS,18W000000000VAOS,Solar fotovoltaica,Venta,España,SZR,Generación,EGLE,"21,0"
FNOBLEJ,FNOBLEJ,UP SOLAR NOBLEJAS,18W000000000R9P8,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"4,0"
FNOCTI6,FNOCTI6,UP SOLAR SOLNOCTIS 6,18W000000000S6XY,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,6"
FNOVELD,FNOVELD,UP SOLAR NOVELDA,18W000000000S1NW,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"0,9"
FNTVERO,FONTIVEROS,UP SOLAR FONTIVEROS,18W000000000M03P,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"6,8"
FNUMAN,FNUMAN,FNUMAN,18W000000000T1WA,Solar fotovoltaica,Venta,España,EVM ,Generación,CEG,"21,5"
FNVELOS,FNVELOS,UP SOLAR NAVELOS,18W000000000SR8L,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"15,5"
FOBAGLS,FOBAGLS,UP SOLAR OBAGOLS,18W000000000S7NE,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,0"
FOGAC,FOGAC,GAC FOTOV MAYOR 1MW,18W000000000P3VM,Solar fotovoltaica,Venta,España,SZR,Generación,GAC,"1,7"
FOLIVA,FOLIVA,UP SOLAR OLIVA,18W000000000SR9J,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"50,0"
FOLIVR2,FOLIVR2,UP SOLAR OLVARES2,18W000000000QHDC,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,8"
FOLIVR3,FOLIVR3,UP SOLAR OLIVARES3,18W000000000QHF8,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,8"
FOLIVR4,FOLIVR4,UP SOLAR FOLIVR4,18W000000000QHH4,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,8"
FOLIVRS,FOLIVRS,UP SOLAR OLIVARES,18W000000000QFHA,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,8"
FOLMALC,FOLMALC,UP SOLAR OMALC,18W000000000P2GI,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"4,5"
FOLVNZ,FOLVNZ,UF OLIVENZA,18W000000000L9J7,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"5,3"
FOLVNZ1,FOLVNZ1,UP SOLAR OLIVENZA1,18W000000000QKE1,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"5,0"
FOLVNZ2,FOLVNZ2,UP SOLAR OLIVENZA2,18W000000000QKGY,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"4,7"
FOPPI,FOPPI,FV-OPPIDUM,18WFOPPI-12345-4,Solar fotovoltaica,Venta,España,SZR,Generación,OPPI,"0,0"
FORACA2,FORACA2,UP SOLAR PISORACA 2,18W000000000UQIX,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"43,3"
FORACA3,FORACA3,UP SOLAR PISORACA 3,18W000000000UQG0,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"27,3"
FORTC01,FORTC01,ENERGIA PARA GRANDES CONSUMIDORES INDUSTRIALES (FORTIA),18WFORTC01-123-U,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,FORTI,"2.500,0"
FORTR01,FORTR01,RESPUESTA ACTIVA GRANDES CONSUMIDORES,18W000000000ONYY,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,FORTI,"46,0"
FOXC01,FOXC01,FOX ENERGIA,18WFOXC01-1234-2,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,FOX,"0,2"
FPALGUL,FPALGUL,FPALGUL,18W000000000U9TP,Solar fotovoltaica,Venta,España,SZR,Generación,SOLRC,"24,9"
FPALMAR,FPALMAR,UP SOLAR EL PALMAR,18W000000000UELQ,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"0,9"
FPALMRA,FPALMRA,UP SOLAR PALOMERA,18W000000000TNYE,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"3,0"
FPALO,FPALO,FPALO,18W000000000SVXX,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"10,0"
FPARADA,PARADAS,PARQUE FV PARADAS,18W000000000PXB9,Solar fotovoltaica,Venta,España,SZR,Generación,EBLCO,"3,0"
FPARCAS,FPARCAS,UP FV PARCAS,18W000000000G2BR,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"33,1"
FPARED3,FPARED3,UP SOLAR PARED 3,18W000000000SYO5,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"42,0"
FPARED4,FPARED4,UP SOLAR PARED 4,18W000000000SYN7,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"42,0"
FPARED5,FPARED5,UP SOLAR PARED 5,18W000000000SYQ1,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"42,0"
FPARED6,FPARED6,UP SOLAR PARED 6,18W000000000SYM9,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"42,0"
FPARED7,FPARED7,UP SOLAR PARED 7,18W000000000SYP3,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"42,0"
FPCSTRO,FPCSTRO,UP SOLAR PUEBLA DE CASTRO,18W000000000RT4R,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,2"
FPEEXXI,FPEEXXI,"ENDESA CUR  ( FOTOVOLTAICA, PRUEBAS)",18WFPEEXXI-123-Z,Solar fotovoltaica,Venta,España,SZR,Generación,EEXXI,"2,2"
FPEG112,FPEG112,FPEG112,18W000000000UHT1,Solar fotovoltaica,Venta,España,SZR,Generación,SOLRC,"67,0"
FPELEAS,FPELEAS,UP SOLAR PELEAS 14,18W000000000RXPA,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"5,0"
FPENAZA,FPENAZA,UP SOLAR LA PEÑAZA,18W000000000RPIB,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"10,0"
FPEONUR,FPEONUR,"E.ON CUR ( FOTOVOLTAICA, PRUEBAS)",18WFPEONUR-123-N,Solar fotovoltaica,Venta,España,SZR,Generación,EONUR,"0,1"
FPEROGO,FPEROGO,UP FV PEROGORDO,18W000000000G2GH,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"38,7"
FPFAGUS,FPFAGUS,UP SOLAR FAGUS,18W000000000SURB,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,4"
FPGAC,FPGAC,FPGAC,18W000000000S7R6,Solar fotovoltaica,Venta,España,SZR,Generación,GAC,"1,7"
FPHCCUR,FPHCCUR,"HIDROCANTABRICO CUR ( FOTOVOLTAICA, PRUEBAS",18WFPHCCUR-123-O,Solar fotovoltaica,Venta,España,SZR,Generación,HCCUR,"0,0"
FPHLIPS,FPHLIPS,UP SOLAR FPHLIPS,18W000000000SZP0,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,2"
FPIBCUR,FPIBCUR,"IBERDROLA CUR  ( FOTOVOLTAICA, PRUEBAS)",18WFPIBCUR-123-N,Solar fotovoltaica,Venta,España,SZR,Generación,IBCUR,"1,6"
FPINILA,FPINILA,UP SOLAR PINILLA,18W000000000HG6S,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"43,8"
FPINTA,FPINTA,UP SOLAR LA PINTA,18W000000000UEHY,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,3"
FPITIEG,FPITIEG,UP SOLAR PITIEGUA,18W000000000R9OA,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"3,8"
FPIZAII,FPIZAII,PSF LA PIZARRA II,18W000000000SC08,Solar fotovoltaica,Venta,España,SZR,Generación,WMARK,"4,9"
FPJRTOS,FPJRTOS,UP SOLAR PAJARITOS,18W000000000PVE9,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,4"
FPLASE,PLASENS1,PLASENS1,18W000000000MFA3,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"10,0"
FPLAZA,FPLAZA,UP SOLAR PLAZA,18W000000000QJOL,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,5"
FPLMCND,FPMLCND,UP SOLAR PALMA CONDADO,18W000000000SO33,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"5,0"
FPLUNA1,FPLUNA1,FV PRADO DE LUNA 1,18W000000000OQYP,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"4,6"
FPLUNA2,FPLUNA2,FV PRADOS DE LUNA 2,18W000000000OQZN,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"4,6"
FPLUNA3,FPLUNA3,FV PRADO DE LUNA 3,18W000000000OR0G,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"4,6"
FPOCICO,FPOCICO,UP POCICO SALAO,18W000000000M01T,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"4,4"
FPOL104,FPOL104,FPOL104,18W000000000UI67,Solar fotovoltaica,Venta,España,SZR,Generación,SOLRC,"24,9"
FPOLLOS,FPOLLOS,UP SOLAR POLLOS,18W000000000RTAF,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"8,1"
FPPIEDR,FPPIEDR,UP PUENTE DE PIEDRA,18W000000000M807,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,2"
FPRQUE1,FPRQUE1,UP SOLAR PARQUE1,18W000000000TAWK,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"9,0"
FPRQUE2,FPRQUE2,UP SOLAR PARQUE2,18W000000000SW78,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"8,0"
FPRUELA,FPRUELA,UP SOLAR PALLERUELA,18W000000000T71H,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"9,0"
FPSFAGA,FPSFAGA,PSF AGATHA,18W000000000SBWL,Solar fotovoltaica,Venta,España,WM1 ,Generación,WMARK,"40,8"
FPSFART,FPSFART,PSF ARTEMISA,18W000000000SBXJ,Solar fotovoltaica,Venta,España,WM1 ,Generación,WMARK,"40,8"
FPSFESM,FPSFESM,PSF ESMERALDA,18W000000000SBYH,Solar fotovoltaica,Venta,España,WM1 ,Generación,WMARK,"40,8"
FPSFGES,FPSFGES,PSF GESTENIA,18W000000000SBTR,Solar fotovoltaica,Venta,España,WM1 ,Generación,WMARK,"40,8"
FPSFHER,FPSFHER,PSF HERACLES,18W000000000SBZF,Solar fotovoltaica,Venta,España,WM1 ,Generación,WMARK,"40,8"
FPSFJAD,FPSFJAD,PSF JADE,18W000000000SBVN,Solar fotovoltaica,Venta,España,SZR,Generación,WMARK,"40,8"
FPSFSAX,SAX,PARQUESAX,18W000000000RKNG,Solar fotovoltaica,Venta,España,SZR,Generación,GESTE,"3,0"
FPSFSES,FPSFSES,PSF SENEN,18W000000000SBUP,Solar fotovoltaica,Venta,España,WM1 ,Generación,WMARK,"40,8"
FPSJESO,FPSJESO,UP FOTOVOLTAICA PASAJESOL,18W000000000K0WC,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"10,0"
FPSOL,PSOL,FV PUERTA DEL SOL,18W000000000PYPF,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"44,0"
FPTREAL,FPTREAL,FV PUERTO REAL,18W000000000OOXX,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"44,0"
FQEMADA,FQEMADA,UP SOLAR CASAQUEMADA,18W000000000UESC,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"41,5"
FQIJOT3,FQIJOT3,UP SOLAR QUIJOTE 3,18W000000000R5PK,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"5,0"
FQIJOTE,FQUIJOTE,UP QUIJOTE,18W000000000LFGW,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"10,0"
FQUEMA2,ES-QUEMAD2,ES-QUEMAD2,18W000000000SQTJ,Solar fotovoltaica,Venta,España,WM1 ,Generación,WMARK,"10,0"
FQUIRAN,FQUIRAN,UP SOLAR VILLAQUIRAN,18W000000000U1F3,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,9"
FRANC01,FRANC01,FRANK ENERGIA IBERIA,18W000000000Q1QY,Comercializadores mercado libre,Compra,España,SZR,Comercializadores,FRANK,"0,0"
FRBDLAG,RIBADELAGO,UP SOLAR RIBADELAGO,18W000000000T6YS,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"31,3"
FRCERIA,FRCERIA,UP SOLAR CARROCERIAS,18W000000000U1BB,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,0"
FREBSCO,FREBSCO,UP SOLAR REBUSCO,18W000000000VGWV,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"0,7"
FREGANT,FREGANT,FREGANT,18W000000000Q48O,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"3,5"
FREGP3,FVRDES1MW,FV REP DES <1MW,18WFREGP3-1234-5,Solar fotovoltaica,Venta,España,SZR,Generación,ECYR,"0,0"
FREGPEM,FREGPEM,FV REPRESENTADA _PROP_100_MERCADOS_AJUSTE,18W000000000LD1V,Solar fotovoltaica,Venta,España,SZR,Generación,ECYR,"68,6"
FREGPEV,FREGPEV,FREGPEV,18W000000000VGR4,Solar fotovoltaica,Venta,España,SZR,Generación,ECYR,"97,8"
FRENEDO,FRENEDO,UP SOLAR RENEDO,18W000000000QKA9,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"25,9"
FRETA,FRETA,FRETA,18W000000000SDMZ,Solar fotovoltaica,Venta,España,EVM ,Generación,CEG,"5,0"
FRGAC,FRGAC,FRGAC,18W000000000RUKT,Solar fotovoltaica,Venta,España,SZR,Generación,GAC,"2,9"
FRIGAL1,FRIGAL1,UP SOLAR MADRIGAL 1,18W000000000SMEO,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"3,3"
FRIGAL2,FRIGAL2,UP SOLAR MADRIGAL 2,18W000000000SMFM,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"3,3"
FRINCO,FRINCO,FRINCO,18W000000000SDOV,Solar fotovoltaica,Venta,España,EVM ,Generación,CEG,"5,0"
FRIXRAB,FRIXRAB,UP SOLAR RIXIRABA,18W000000000LUES,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"12,0"
FROCINA,FROCINA,FV ROCINANTE,18W000000000UAYC,Solar fotovoltaica,Venta,España,SZR,Generación,ECYR,"98,0"
FRODEO,FRODEO,UP SOLAR EL RODEO,18W000000000TMXJ,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"5,0"
FRODRI,FRODRI,FRODRI,18W000000000UH2I,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"42,6"
FROTEL,FROTEL,UP ROTELES,18W000000000UGJO,Solar fotovoltaica,Venta,España,SZR,Generación,EGLE,"38,9"
FROTON1,ROT1,ROTON1,18W000000000PR7Z,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"17,5"
FROTON2,ROT2,ROTON2,18W000000000PR9V,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"17,5"
FROTON3,ROT3,ROTD3,18W000000000PRBR,Solar fotovoltaica,Venta,España,GNRA01 ,Generación,GNRA,"34,5"
FROZAS,FROZAS,FROZAS,18W000000000T2SF,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"31,5"
FRREGOS,FRREGOS,UP LOS BORREGOS,18W000000000S7T2,Solar fotovoltaica,Venta,España,AXPO ,Generación,EGLE,"38,4"
FRSIGMA,FRSIGMA,FRSIGMA,18W000000000Q5F7,Solar fotovoltaica,Venta,España,SZR,Generación,REPSB,"169,5"
FRTS1,FRTS1,FV RENOV RTS1 1MW,18WFRTS1-12345-A,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"1,2"
FRULAOR,FRULAOR,UP SOLAR RULAOR,18W000000000SZSV,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,0"
FRUSNDO,FRUSNDO,UP SOLAR RUSANDO,18W000000000U2W3,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,0"
FSACIMP,FSACIMP,UP SOLAR SAC IMP,18W000000000NH1B,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,3"
FSALOB,SALOBRAL,SALOBRAL,18W000000000HTPP,Solar fotovoltaica,Venta,España,SZR,Generación,HISPE,"38,0"
FSAN100,FSAN100,FSAN100,18W000000000UI91,Solar fotovoltaica,Venta,España,SZR,Generación,SOLRC,"42,1"
FSANCTE,FSANCTE,UP SOLAR SAN CLEMENTE,18W000000000SUPF,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"5,0"
FSANVAL,FSANVAL,UP SOLAR SAN VALENTIN 1,18W000000000TU7A,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"14,0"
FSARDA,FSARDA,UP SARDA,18W000000000LF1P,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,6"
FSARIUM,FSARIUM,UP FV FOTOSOLARIUM 10,18WFSARIUM-123-7,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"6,3"
FSCALN2,SCAL,SCAL2,18W000000000L2OI,Solar fotovoltaica,Venta,España,SZR,Generación,GESTE,"3,6"
FSCALNA,SCALNA,ESCALONA,18W000000000MCJV,Solar fotovoltaica,Venta,España,GST1 ,Generación,GESTE,"17,3"
FSCASTU,FSCASTU,UP MAYOR 5 MW CASTUERA,18WFSCASTU-123-H,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"19,8"
FSCO122,FSCO122,FSCO122,18W000000000TKO6,Solar fotovoltaica,Venta,España,SZR,Generación,SOLRC,"70,6"
FSEGRO,SEGROGRAN,FV SEGRO GRANOLLERS,18W000000000RZ49,Solar fotovoltaica,Venta,España,SZR,Generación,CONEC,"2,0"
FSEMUR1,FSEMUR1,UP SOLAR ALSEMUR 1,18W000000000UKO2,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"41,2"
FSEMUR2,FSEMUR2,UP SOLAR ALSEMUR 2,18W000000000UKP0,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"41,2"
FSEMUR3,FSEMUR3,UP SOLAR ALSEMUR 3,18W000000000UKQZ,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"41,2"
FSERRZL,FSERRZL,UP SOLAR SERREZUELA,18W000000000MXWG,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"4,6"
FSERVN3,SRVN3,SERVAN3,18W000000000P3ZE,Solar fotovoltaica,Venta,España,SZR,Generación,GESTE,"41,6"
FSERVN4,SERVN4,SERVAN4,18W000000000P415,Solar fotovoltaica,Venta,España,SZR,Generación,GESTE,"41,6"
FSERVN5,SERVN5,SERVAN5,18W000000000P431,Solar fotovoltaica,Venta,España,SZR,Generación,GESTE,"41,6"
FSERXXI,FSERXXI,REGIMEN ESPECIAL TARIFA,18WFSERXXI-12--T,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"10,0"
FSEVILL,FSEVILLA,UP FV SEVILLA,18W000000000G28X,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"33,2"
FSIBERI,FSIBERI,UP SOLAR SIBERI,18W000000000SIT6,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"10,0"
FSIGMA,SIGMA,SIGMA,18W000000000LQJU,Solar fotovoltaica,Venta,España,ALP ,Generación,HISPE,"24,1"
FSIRIUS,SIRIUS,FVSIRIUS,18W000000000MP4M,Solar fotovoltaica,Venta,España,SZR,Generación,GESTE,"41,5"
FSJORGE,FSJORGE,UP SOLAR SAN JORGE,18W000000000PVRK,Solar fotovoltaica,Venta,España,NEXUS ,Generación,NEXU,"21,2"
FSLINAS,SLINAS,SALINAS,18W000000000QPUS,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"25,5"
FSLNOC1,FSLNOC1,UP SOLAR SOLNOCTIS3,18W000000000PT30,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,8"
FSLOBON,UP LOBON,UP SOLAR LOBON,18W000000000MGXS,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,7"
FSLREY1,FSLREY1,UP SOLAR REY1,18W000000000U4XW,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"81,7"
FSLREY2,FSLREY2,UP SOLAR REY2,18W000000000U4YU,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"81,7"
FSLREY3,FSLREY3,UP SOLAR REY3,18W000000000U4ZS,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"81,7"
FSLREY4,FSLREY4,UP SOLAR REY4,18W000000000U50L,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"81,7"
FSMURC,FSMURC,UP SOLAR VERGELES SOLARES,18W000000000PVG5,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"3,3"
FSNBRIA,SANABRIA,UP SOLAR SANABRIA,18W000000000T6XU,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"37,0"
FSOCO2,FSOCO2,FSOCO2,18W000000000TIWX,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"25,6"
FSOL14,FSOL14,UP SOL20120014,18W000000000TFBA,Solar fotovoltaica,Venta,España,SZR,Generación,EGLE,"6,0"
FSOL16,FSOL16,UP SOL20120016,18W000000000TFD6,Solar fotovoltaica,Venta,España,SZR,Generación,EGLE,"6,0"
FSOLANG,FSOLANG,FSOLANG,18W000000000Q4J2,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"9,1"
FSOLARG,FSOLARG,FSOLARG,18W000000000Q56P,Solar fotovoltaica,Venta,España,SZR,Generación,CEG,"7,0"
FSOLLAN,FSOLLAN,UP SOLAR LA SOLLANA,18W000000000QMR6,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,2"
FSOLMA,SOLMATCH,SOLMATCH,18W000000000PK1V,Solar fotovoltaica,Venta,España,SZR,Generación,VIEE,"1,1"
FSOLPQ1,FSOLPQ1,UP SOLAR PQ1,18W000000000U2U7,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"12,0"
FSOLRC,FSOLRC,FSOLRC,18W000000000SOOZ,Solar fotovoltaica,Venta,España,SZR,Generación,SOLRC,"10,0"
FSONAV,FSONAV,UP SOLEN ENERGA LA NAVA,18W000000000SXNA,Solar fotovoltaica,Venta,España,SZR,Generación,EGLE,"45,0"
FSONDAA,FSONDAA,UF SOLAR CUBIERTA ONDA A,18W000000000SUOH,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"1,1"
FSOVAL,FSOVAL,UP SOLEN ENERGA VALDELAFUENTE,18W000000000SSNP,Solar fotovoltaica,Venta,España,SZR,Generación,EGLE,"45,0"
FSPARRA,FSPARRA,UP FV CALASPARRA,18WFSPARRA-123-2,Solar fotovoltaica,Venta,España,SZR,Generación,GNRA,"12,0"
FSPELYO,FSPELYO,UP SOLAR SAN PELAYO,18W000000000QRAP,Solar fotovoltaica,Venta,España,SZR,Generación,NEXU,"2,8"
