subject_code,legal_entity
GAMBI,"GAMBITOENERGY, S.L."
GAOLA,GANA ENERGIA
GME,GARCIAMUNTE ENERGIA S L
GNCO,GAS NATURAL COMERCIALIZADORA
GNSE,"GAS NATURAL SERVICIOS SDG, S.A"
GNSUR,"GAS NATURAL SUR SDG, S.A."
GDIVE,GASELEC DIVERSIFICACION SL
SRVGS,GASHOGAR
GSLZE,GASILUZ ECO ENERCIA
GAVIP,GAVIPLAS
GMT,GAZPROM MARKETING & TRADING LI
FR_GS,GDF SUEZ TRADING
GNRA,GENERA ENERGIA Y TECNOLOGIA
ANGEL,GENHIDRO S.L.
GEOLU,GEO LUZ Y GAS SLU
GEOAL,GEOAL
GAC,GEOATLANTER S.L.
GESL,GERENCIA ENERGETICA
GRTEN,GERENTA ENERGIA
GESTE,GESTERNOVA S.A.
GESTI,"GESTINER INGENIEROS, S.L."
GEMSL,GESTION DE ENERGIA Y MERCADOS
GESTQ,GESTION INTEGRAL COMUNIDADES ENERGETICAS EUROPA SL
GBENE,GLOBAL BIOSFERA ENERGIA
GSETT,"GLOBAL SOLAR ENERGY, S.A."
GOENC,GODAY ENERGIA
GOIEN,GOIENER S.COOP
GRAFV,GRAFICAS VARIAS SA
FORTI,GRANDES CONSUM. INDUSTR. S.L.
GREAL,"GREEN ENERGY 360, S.L."
GRNSR,"GREENSUNRISE ENERGY, S.L."
ENCEG,GRUPO EMPRESARIAL ENCE S.A - C
ENDG,GRUPO ENDESA GENERACION
GURBT,"GURBTEC ENERGIA, SL"
GWHCO,"GWH COMERCIALIZADORA ELECTRICA, S.L."
HAFES,"HAFESA MOBILITY ELC, S.L."
HALLE,"HALLEY ENERGY, SOCIEDAD LIMITADA"
ESHAN,HANWHA
HAPO,HARINAS POLO
HELIC,HELIA COOPV
HELEC,HELIOELECENERGIA ELECTRICAYGAS
HELEI,HELIOS ENERGIA INTELIGENTE
HDE,"HIDRO NITRO ESPAÑOLA, S.A."
HIDSE,HIDROBESORA SERVICIOS SL
HCENE,HIDROCANTÁBRICO ENERGÍA COMERC
HCCUR,HIDROCANTABRICO ULTIMO RECURSO
ALAHU,HIDROCARBUROS ALAHURÍN SL
VALI,HIDROELECTRICA DEL VALIRA SL
HECEN,"HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L"
LUM1,HIDROELECTRICA LUMYMEY SL
HIDRJ,HIDROJERTE
HILAD,HILADOS EGARFIL S.A.
HISPE,HISPAELEC
MELUL,HISPANO TEX
CLIDM,HOLALUZ CLIDOM
HORE,HORECA ENERGIA SL
FLECA,HORNO INDUSTRIAL DE PAN
SILOS,HOTEL SILOS
HOYEN,HOY ENERGIA S.L.
HSATE,HSAT21 ENERGIA SL
HUNOS,HULLERAS DEL NORTE S.A.
HYDRO,HYDROEXERGY S.L.
IBERD,IBERDESA SUJETO DE MERCADO
IBCLI,IBERDROLA CLIENTES
IBEG,IBERDROLA GENERACION
IBGES,IBERDROLA GENERACION ESPAÑA
IGNU,IBERDROLA GENERACION NUCLEAR
IBGT,IBERDROLA GENERACION TERMICA
IBSEN,IBERDROLA SERVICIOS ENERGETICO
GALA1,IBERELECTRICA COMERCIALIZADORA
IBSUS,IBERICA DE SUSPENSIONES
IBERB,"IBERICA IMPULSA, S.L"
IBERY,"IBERMAX ENERGY Y CONSULTING, S.L"
IDESE,"IDES ENERGÍA, S.L."
IGNIS,IGNIS COMER ELECTRICA
CYDDP,IGNIS GENERACIÓN S.L.
LAND,ILANDS AND BUILDINGS
IM3,IM3ENERGIA
IMAXI,"IMAXIMA ENERGIA, S.L."
IMPER,IMPERIUM LUMEN S.A.
INARG,INARGY SPOT S.L.U.
ICGAS,INCOGAS
INDA,"INDALO ENERGÍA, S.L."
INDAR,"INDAREL KUDEAKETA, SLU"
INDEX,INDEXO ENERGIA
INERM,INER MADRID SL
INER1,INER1CO1
INGAR,INGAROIL
ISMSL,INGEBAU SOLUCIONES DE MEDIDA
INGEM,INGEM ENERGIA SL
IENOV,INICIATIVA E.NOVA
INICB,"INICIATIVAS ENERGÉTICAS O3, S.L."
INTEG,INTEGRACION EUROPEA DE ENERGIA
INTEA,INTERENERGIA ENERGY TRADING COMPANY
INTRA,INTRAENERGIA REPRESENTACION SL
INUSK,INUSK01
INVEV,INVERGOMAR RESTAURACION SL
ISYDE,INVESYDE COMERCIALIZADORA
IONA,IONA ENERGÍA
IRIS,IRIS ENERGIA EFICIENTE
ISAEC,ISAE COMERCIALIZACION S.L.
ISEO,ISEO ENERGÍA S.L.
KARMA,ISOEN ENERGY SOLUTIONS SL
ITURB,ITURBEGI S.L.
JARON,J.ARON & COMPANY
JMFEN,"JMF ENERGIAS RENOVABLES, S.L"
JOVE,JOVE ENERGÍA RENOVABLE SL
JUANX,JUAN ENERGY COMERCIALIZADORA
JDALU,JUNTA ANDALUCIA
JUSEP,JUST ENERGY PRO LUZ
KILVE,KILOWATIOS VERDES SL
KINE,"KINESTALIA ENERGIA, SOCIEDAD LIMITADA"
KIRIN,"KIRIN RENOVABLES, SOCIEDAD LIMITADA"
KODLC,KODL CAPITAL SL
KONRY,KONERY EFICIENCIA ENERGTICA
KVASI,KVASIR TECHNOLOGIES LIMITED
KWFVI,"KWFVI ENERGÍA, S.L"
LACOR,LA CORRIENTE S COOP
LAUEI,"LA UNIÓN ELECTRO INDUSTRIAL, S"
LAVAL,LA VALL COMERCIALIZADORA ELECTRICA SOCIEDAD LIMITADA
LABOI,LABOIL ENERGIA SL
LABOA,LABOR SOLIS COMERCIALIZADORA DE ENERGÍA S.L
LADYW,LADY WARSAW INVESTMENT SL
LAMPY,"LAMPYRIS ENERGIA, S.L."
LEONC,LEON COMERCIALIZADORA DE ENERGIA
LIDER,LIDERA COMERCIALIZADORA ENERGIA SL
LDGIA,LIDERGIA
SOLTE,LIMPIEZA ENERGÉTICA 2024 SL
LINAM,LINAMAR LIGHT METALS ZARAGOZA S.A.U
LINKE,LINK ENERGIA
LPWEN,LOCAL POWER ENERGY SL
LOCAL,"LOCALUZ ENERGIA, S.L."
LMER,LONJAS TECNOLOGIA S.A.
LEDCE,LOOP ELECTRICIDAD
LOVEE,LOVE ENERGY
LOVIL,"LOVILUZ ENERGIA, S.L"
LCOST,LOWCOSTPOWER
LUCIE,LUCIÉRNAGA COMERCIALIZADORA
LUCIA,"LUCIFERASA-2 ENERGIA, S.L."
LUCK,LUCKY LUZ ENERGIA SL
LUX,LUX FORUM SLU
LUXIA,"LUXIA ENERGIA Y CONSULTORES, S.L."
LSINC,"LUZ SOLIDARIA INCLUSIVA, SL"
LUZSO,LUZ SOLIDARIA SL
LUZYE,LUZY ENERGIA RENOVABLE SLU
LUZYG,LUZYGAS IBERIA SL
MACEB,MACEB
MFRSA,MAFRESA IBERICO DE CONFIANZA
MANUE,MANUEL GALLEGO MUDARRA
ONE,MARRUECOS
MARTB,MARTIN LOPEZ DE PETROLEOS
MASAL,"MAS ALLA PRODUCTOS ENERGETICOS, S.L."
MASIN,MAS INTELIGENCIA
MASNA,"MASNORTE GLOBAL POWER, SOCIEDAD LIMITADA"
MASQL,MASQLUZ 2020
PLATA,MATADERO EL CABEZO DE LA PLATA
MOIA,MATADERO MOIA
MAZEE,MAZE ENERGY S.L.
MEG,MEGARA ENERGIA SOC COOP
MEGAW,MEGAWATIO ENERGÍA SL
MERCU,MERCURIA ENERGY TRADING SA
MERKA,MERKAOÑA S.L.
MEROL,MEROLTEX SL
METEN,"MET ENERGÍA ESPAÑA, S.A.U."
TALGA,METALGAR
MINAI,MINAI SERVICIOS ENERGETICOS
MINAL,MINAS DE ALCANTARA SL
MODI,MODISPREM
MOLAL,MOLALUZ ENERGIA SL
MOLE,MOLECOR
MOLEC,MOLECOR CANALIZACIONES S.L
MONTR,MONTARTO TECHNOLOGY SL
MORTE,MORTERO SOLAR SPAIN S.L
MENER,MOSCOSO ENERGIA
MOVHE,MOVHERA - HIDROELETRICAS DO NORTE SA
MOVIE,MOVIER ENERGIA SOSTENIBLE S.L.
MUEST,MUESTRARIOS IBERIA SL
MULTI,MULTIENERGIA VERDE
MULTA,MULTISERVICIOS TECNOLOGICOS SA
MULTB,MULTITELEC ENERGIA RENOVABLES SL
MSVSL,MUNICIPAL DE SERVICIOS VILLAHE
MYEN,MY ENERGIA ONER S.L.
MYENX,MYENXXI
NABAL,NABALIA ENERGIA
GNCC,NATURGY CICLOS COMBINADOS
NYCLI,"NATURGY CLIENTES, S.A."
GNFG,NATURGY GENERACIÓN S.L.U.
NEMON,NEMON INTELLIGENCE IN BUSINESS
NETON,"NETON ENERGY SERVICES, S.L.U."
NEURO,NEURO ENERGIA
NEXAM,NEXT ENERGiA XXI SL
NEXAP,"NEXT ENERGY PLUS, S.L."
NEXU,NEXUS ENERGIA
NRENO,"NEXUS RENOVABLES, S.L."
NIDHO,NIDHOG APS
NIVA,NIVAPLAST RECICLADOS
NOBLE,NOBLE CLEAN FUELS LIMITED
NOCTI,"NOCTILUCA ENERGIA, S.L."
NORDW,NORDWESTEN ENERGIE SL
NORE,NORTELECTRICA SA
NOSA,NOSA ENERXIA SCG
NETRA,NOVA ENERGIA TRADING SL
NVLZE,NOVALUZ ENERGÍA SL
NCE,NUEVA COMERCIALIZ ESPAÑOLA SL
NENAP,NUEVAS ENERGIAS APLICADAS SL
NUKIK,"NUKIK ENERGY, SL"
NUMI,NUMINARION SL
UMEME,OCTOPUS ENERGY ESPANA SLU
OCYE,OCYENER S.L.
ODARA,"ODARA RENOVABLES, S.L."
ODELL,"ODELL ENERGY, S.L"
ODF,ODF ENERGIA LIBRE
OHMEY,OHM EYG COMERCIALIZADORA
OHMIA,OHMIA ELECTRA
OKENE,OK_TU_ENEGIA_VERDE
OLE,OLE GREEN ENERGY
OLIVA,OLIVES AND PICKLES
OLIVC,OLIVIA COMERCIALIZADORA SLU
ONDEM,ON DEMAND FACILITIES
ONDAR,ONDARE UNIVERSIDAD SLU
ONS,ONSE
REE,OPERADOR DEL SISTEMA
OPPI,OPPIDUM
OURGR,"OUR GREEN ENERGY, S.L."
PEALT,P. E. DEL ALTIPLANO
PEBEC,P.E. BECERRIL S.L.
PANDO,"PANDORA ENERGÍA, S.L."
PTENG,PARATIENERGIA
PEL,PELLET ASTURIAS
NAVAR,PETRONAVARRA SL
PESL,PETRONIEVES ENERGIA COMERCIALI
DARUZ,PIENSOS DARUZ
PINDO,PINDO ELECTRICIDAD Y GAS
PISUE,PISUERGA INFRAESTRUCTURAS ENERGETICAS SL
MATA,PIZARRAS MATACOUTA S.A
PLACG,PLANA CAN GUITART S.L.
BOTAR,PLANTA MECA-BIOLOGICA BOTARELL
HELIO,"PLANTA SOLAR HELIOS I, S.L."
PLAS,PLASPISA SA
SPGG,PLASTIENVASE
POLAR,"POLAR COMERCIALIZADORA ELÉCTRICA, S.L."
PONTC,PONTS COMERCIALITZADORA MUNICI
POTEN,POTENZIA COMERCIALIZADORA SL
POWEE,POWER PULSE IBERIA SL
POWED,POWER SOLAR TRADE SL
SUNCA,POWER WATT ENERGY
POWER,POWERMART APS
PRAET,PRAETIUM ENERGY SOCIEDAD LIMITADA
PRIMV,PRIMEVOLT ENERGY SL
CHURR,PRODUCTOS CHURRUCA
SOPRO,PROFIT ENERGY SL
PROSA,PROSOL ENERGÍA COMERCIALIZADORA SL
PROTC,PROT ENERGIA COMERCIALIZACION
PULSA,PULSAR ENERGIA
QUANT,"QUANTICA COMERCIALIZADORA DE ENERGIA, S.L"
QUANA,QUANTUM LUX 6.4 S.L
QENER,QUASAR ENERGIA
RDGCO,"RDG COMERCIALIZADORA GALEGA DE ENERXIA, S.A."
WATIO,RECICLAJE ECOLOGICOS BARATHEON
CHAND,RECICLAJES ECOLGICOS CHANDUY
NAGIN,RECICLAJES ECOLOGICOS NAGINI SL
EONUR,REGISITI COM. REGULADA
REMIC,REMICA COMERCIALIZADORA
