up_code,up_name,subject_code,technology_esios
ETNEC01,ETNER,ETNER,Comercializadores mercado libre
ETO1,ETO1,BARER,Hidráulica UGH
ETRIGO,ETRIGO,NEXU,Eólica terrestre
ETSOC01,ETSOC01,ETSOL,Comercializadores mercado libre
EUCDR01,EUCDR01,WMARK,Consumos directos en mercado
EUEUZA,EUEUZA,EGLE,Eólica terrestre
EUJARAL,EUJARAL,CEG,Eólica terrestre
EULAYAL,EULAYAL,CEG,Eólica terrestre
EUNION,EUNION,REPSB,Eólica terrestre
EUNTAL,EUNTAL,EGLE,Eólica terrestre
EUNZUE,EUNZUE,EGLE,Eólica terrestre
EUW3VIL,EUW3VIL,CEG,Eólica terrestre
EVALDET,EVALDET,CEG,Eólica terrestre
EVALDLU,EVALDLU,CEG,Eólica terrestre
EVALLE,PE VALLE,EBLCO,Eólica terrestre
EVAR,PEARCS,IGNIS,Eólica terrestre
EVDCONE,EVDCONE,NEXU,Eólica terrestre
EVDERRO,EVDERRO,NEXU,Eólica terrestre
EVDMOG,EVDMOG,EGED,Eólica terrestre
EVECIA,EVECIA,EGLE,Eólica terrestre
EVESTA,EVESTA,EGLE,Eólica terrestre
EVIENG,EVIENG,REPSB,Eólica terrestre
EVILLAN,EVILLAN,EGED,Eólica terrestre
EVIVC01,UP E_VIVA,EVIVA,Comercializadores mercado libre
EVIVV01,EVIVV01,EVIVA,Solar fotovoltaica
EVMER01,EVMER01,CENTE,Comercializadores mercado libre
EVOLTOR,EVOLTOR,NEXU,Eólica terrestre
EWIESRB,EWIESRB,NEXU,Eólica terrestre
EXISC01,EXISC01,EXISC,Consumos directos en mercado
EXUNQUE,PE XUNQUEI,EBLCO,Eólica terrestre
EYCEC01,EYCEC01,EYCE1,Comercializadores mercado libre
EYEEXXI,EYEEXXI,EEXXI,Eólica terrestre
EYEFG,EYEFG,EFG,Eólica terrestre
EYEGLE,EYEGLE,EGLE,Eólica terrestre
EYEONUR,EYEONUR,EONUR,Eólica terrestre
EYGESTE,EYGESTE,GESTE,Eólica terrestre
EYGNSUR,EYGNSUR,GNSUR,Eólica terrestre
EYHCCUR,EYHCCUR,HCCUR,Eólica terrestre
EYIBCUR,EYIBCUR,IBCUR,Eólica terrestre
EYMOTAR,EYMOTAR,DETIC,Eólica terrestre
EYNEXU,EYNEXU,NEXU,Eólica terrestre
EYOLPOP,EOLPOP,GESTE,Eólica terrestre
EYPC01,ESTPAYMER,EPYM,Comercializadores mercado libre
EYPPV1,EYP PV,EPYM,Solar fotovoltaica
EYPPV4,ES-EYPPV4,EPYM,Solar fotovoltaica
EYPPV5,UP SIRAH,EPYM,Solar fotovoltaica
EYPPV6,REPRE FV,EPYM,Solar fotovoltaica
EYWMARK,EYWMARK,WMARK,Eólica terrestre
EZENET,EZENET,EGLE,Eólica terrestre
F15FEN,FV MAY 5MW,FEN,Solar fotovoltaica
F1CEG,F1CEG,CEG,Solar fotovoltaica
F1DREUA,F1DREUA,DREUA,Solar fotovoltaica
FAAVYC,FAAVYC,NEXU,Solar fotovoltaica
FABACUS,FABACUS,NEXU,Solar fotovoltaica
FABENOJ,FABENOJ,NEXU,Solar fotovoltaica
FABLITA,FABLITAS,NEXU,Solar fotovoltaica
FAENAMA,FAENAMA,ENDG,Solar fotovoltaica
FAGAC,FAGAC,GAC,Solar fotovoltaica
FAGENOR,AGENR,GNRA,Solar fotovoltaica
FAGROB1,FAGROB1,NEXU,Solar fotovoltaica
FAGROB2,FAGROB2,NEXU,Solar fotovoltaica
FAGROB3,FAGROB3,NEXU,Solar fotovoltaica
FAGRSRM,FAGRSRM,SOLRC,Solar fotovoltaica
FAGUDO,FAGUDO,NEXU,Solar fotovoltaica
FAIELO,FAIELO,NEXU,Solar fotovoltaica
FAIRM1,FAIRM1,NEXU,Solar fotovoltaica
FAIRM2,FAIRM2,NEXU,Solar fotovoltaica
FALAM,FALAM,GNRA,Solar fotovoltaica
FALAMIL,FALAMIL,NEXU,Solar fotovoltaica
FALARCO,FALARCO,NEXU,Solar fotovoltaica
FALBESA,FALBESA,NEXU,Solar fotovoltaica
FALBET1,FALBET1,NEXU,Solar fotovoltaica
FALBET2,ALBETA 2,NEXU,Solar fotovoltaica
FALCNCH,FALCNCH,NEXU,Solar fotovoltaica
FALCNOR,ALCNOR,GESTE,Solar fotovoltaica
FALCNRA,FCNERA,GESTE,Solar fotovoltaica
FALCON1,FALCON1,NEXU,Solar fotovoltaica
FALCONC,ALCONCHEL,EBLCO,Solar fotovoltaica
FALCOR,FALCOR,EGLE,Solar fotovoltaica
FALCORE,FALCORE,NEXU,Solar fotovoltaica
FALCSUR,ALCSUR,GESTE,Solar fotovoltaica
FALDER,FALDER,EGLE,Solar fotovoltaica
FALIAGA,FV ALIAGAR,WMARK,Solar fotovoltaica
FALIWN,FALIWIN,NEXU,Solar fotovoltaica
FALIZAR,ALIZARSUN,HISPE,Solar fotovoltaica
FALJORR,FALJORRA,NEXU,Solar fotovoltaica
FALLIUM,FALLIUM,NEXU,Solar fotovoltaica
FALMANS,FALMANS,NEXU,Solar fotovoltaica
FALMO1,FALMO1,CEG,Solar fotovoltaica
FALMRIO,FALMRIO,NEXU,Solar fotovoltaica
FALMUGE,FALMUGE,NEXU,Solar fotovoltaica
FALMVAR,FALMVAR,NEXU,Solar fotovoltaica
FALNERA,FALNERA,NEXU,Solar fotovoltaica
FALONDE,FALONDE,NEXU,Solar fotovoltaica
FALP11,FALP11,HISPE,Solar fotovoltaica
FALP12,FALP12,HISPE,Solar fotovoltaica
FALP13,FALP13,HISPE,Solar fotovoltaica
FALP14,FALP14,HISPE,Solar fotovoltaica
FALP15,FALP15,HISPE,Solar fotovoltaica
FALP16,FALP16,HISPE,Solar fotovoltaica
FALP18,FALP18,HISPE,Solar fotovoltaica
FALP19,FALP19,HISPE,Solar fotovoltaica
FALP20,FALP20,HISPE,Solar fotovoltaica
FALP21,FALP21,HISPE,Solar fotovoltaica
FALP22,FALP22,HISPE,Solar fotovoltaica
FALP23,FALP23,HISPE,Solar fotovoltaica
FALP25,FALP25,HISPE,Solar fotovoltaica
FALP29,FALP29,HISPE,Solar fotovoltaica
FALPMAI,FALPMAI,SOLRC,Solar fotovoltaica
FALQRIA,FALQRIA,GESTE,Solar fotovoltaica
FALTCO,UP ALTCO,NEXU,Solar fotovoltaica
FAMORET,ALDEAMORET,WMARK,Solar fotovoltaica
FANGES1,FANGES1,CEG,Solar fotovoltaica
FANOVR,ANOVR,GESTE,Solar fotovoltaica
FANPU,FANPU,EGLE,Solar fotovoltaica
FANSA,FANSA,EGLE,Solar fotovoltaica
FANTU,FANTU,EGLE,Solar fotovoltaica
FAQU127,FAQU127,SOLRC,Solar fotovoltaica
FARASU1,PSF ARASUR,WMARK,Solar fotovoltaica
FARASU2,PSF ARASUR,WMARK,Solar fotovoltaica
FARBASL,FARBASL,NEXU,Solar fotovoltaica
FARBYON,FARBYON,NEXU,Solar fotovoltaica
FARCA,FARCA,NEXU,Solar fotovoltaica
FARCICR,ARCICLLR,GESTE,Solar fotovoltaica
FARCO8,FARCO8,CEG,Solar fotovoltaica
FARCOS,FARCOS,NEXU,Solar fotovoltaica
FARFEN,EOL 20 MW,FEN,Eólica terrestre
FARGASL,PE_ARGASOL,EBLCO,Solar fotovoltaica
FARI111,FARI111,SOLRC,Solar fotovoltaica
FAROBO,FAROBO,NEXU,Solar fotovoltaica
FARPAL,FARPAL,NEXU,Solar fotovoltaica
FASETYM,PE_ASETYM,EBLCO,Solar fotovoltaica
FASSENE,FASSENE,NEXU,Solar fotovoltaica
FASSEST,FASSEST,NEXU,Solar fotovoltaica
FASSLOG,FASSLOG,NEXU,Solar fotovoltaica
FASTC01,FASTC01,FASTL,Comercializadores mercado libre
FATCAP,FATCAP,EGLE,Solar fotovoltaica
FATQINS,FATQINS,NEXU,Solar fotovoltaica
FAUDAX,PV AUDAX,ADXRE,Solar fotovoltaica
FAUR114,FAUR114,SOLRC,Solar fotovoltaica
FAZARA,UP AZARAR,NEXU,Solar fotovoltaica
FAZUER1,FAZUER1,NEXU,Solar fotovoltaica
FAZUER2,FAZUER2,NEXU,Solar fotovoltaica
FBADJOZ,FBADJOZ,NEXU,Solar fotovoltaica
FBALBON,FBALBON,ECYR,Solar fotovoltaica
FBALFV3,FBALFV3,SOLRC,Solar fotovoltaica
FBALZ4V,FBALZ4V,IBGES,Híbrida renovable-almacenamiento
FBALZ5V,FBALZ5V,IBGES,Híbrida renovable-almacenamiento
FBARAD,BARAD,GESTE,Solar fotovoltaica
FBARCI,FBARCI,EGLE,Solar fotovoltaica
FBARGSN,BARGSNORT,GESTE,Solar fotovoltaica
FBARGSS,BRNSSUR,GESTE,Solar fotovoltaica
FBARRO1,FBARRO1,NEXU,Solar fotovoltaica
FBARRO2,FBARRO2,NEXU,Solar fotovoltaica
FBASIR,FBASIR,NEXU,Solar fotovoltaica
FBCERRI,FBCERRI,NEXU,Solar fotovoltaica
FBEL103,FBEL103,SOLRC,Solar fotovoltaica
FBELCH1,FBELCH1,CEG,Solar fotovoltaica
FBELCH2,FBELCH2,CEG,Solar fotovoltaica
FBELCH3,FBELCH3,CEG,Solar fotovoltaica
FBELME1,FBELME1,NEXU,Solar fotovoltaica
FBELME2,FBELME2,NEXU,Solar fotovoltaica
FBELOS,FBELOS,NEXU,Solar fotovoltaica
FBENEIX,BENEIXAMA,EBLCO,Solar fotovoltaica
FBENILD,FV BENILDE,EBLCO,Solar fotovoltaica
FBETMAI,FBETMAI,SOLRC,Solar fotovoltaica
FBETULA,FBETULA,NEXU,Solar fotovoltaica
FBHIBHV,FBHIBHV,IBGES,Híbrida renovable-almacenamiento
FBIANHV,FBIANHV,IBGES,Híbrida renovable-almacenamiento
FBIOLHV,FBIOLHV,IBGES,Híbrida renovable-almacenamiento
FBIREHV,FBIREHV,IBGES,Híbrida renovable-almacenamiento
FBIROHV,FBIROHV,IBGES,Híbrida renovable-almacenamiento
FBLANCA,BLNCA,GESTE,Solar fotovoltaica
FBLCON1,FBLCON1,NEXU,Solar fotovoltaica
FBLCON2,FBLCON2,NEXU,Solar fotovoltaica
FBLCON3,FBLCON3,NEXU,Solar fotovoltaica
FBLDIO2,BLDIO,GESTE,Solar fotovoltaica
FBLMER2,FBLMER2,NEXU,Solar fotovoltaica
FBLMER3,FBLMER3,NEXU,Solar fotovoltaica
FBLOPR2,FBLOPR2,NEXU,Solar fotovoltaica
FBLOPR3,FBLOPR3,NEXU,Solar fotovoltaica
FBOLAR1,FBOLAR1,CEG,Solar fotovoltaica
FBOLAR2,FBOLAR2,CEG,Solar fotovoltaica
FBOLAR3,FBOLAR3,CEG,Solar fotovoltaica
FBOYAL,FBOYAL,NEXU,Solar fotovoltaica
FBRCNES,FBRCNES,NEXU,Solar fotovoltaica
FBRDENA,FBRDENAS,GESTE,Solar fotovoltaica
FBRDENS,BRDNS,GESTE,Solar fotovoltaica
FBRERAS,BRERAS,GESTE,Solar fotovoltaica
FBRGAS,FBRGAS,NEXU,Solar fotovoltaica
FBRISAS,FBRISAS,NEXU,Solar fotovoltaica
FBRVLS1,FBRVLS1,NEXU,Solar fotovoltaica
FBRVLS2,FBRVLS2,NEXU,Solar fotovoltaica
FBRVLS3,FBRVLS3,NEXU,Solar fotovoltaica
FBUIXEU,FBUIXEU,NEXU,Solar fotovoltaica
FBURGLL,FBURGLL,NEXU,Solar fotovoltaica
FBURGO1,FBURGO1,NEXU,Solar fotovoltaica
FBURGO2,FBURGO2,NEXU,Solar fotovoltaica
FBURRI1,FBURRI1,CEG,Solar fotovoltaica
FBURRI2,FBURRI2,CEG,Solar fotovoltaica
FCABEZA,CABEZA,GESTE,Solar fotovoltaica
FCABLDO,FCABLDO,NEXU,Solar fotovoltaica
FCABZLA,FCABZLA,NEXU,Solar fotovoltaica
FCACRE1,FCACRE1,NEXU,Solar fotovoltaica
FCACRE2,FCACRE2,NEXU,Solar fotovoltaica
FCADIMA,FCADIMA,NEXU,Solar fotovoltaica
FCALCAL,FCALCAL,NEXU,Solar fotovoltaica
FCALERA,CALERA,GESTE,Solar fotovoltaica
FCALIG,FCALIG,NEXU,Solar fotovoltaica
FCAMPAN,FCP,GESTE,Solar fotovoltaica
FCAMRIO,FCAMRIO,CEG,Solar fotovoltaica
FCANAME,UP CANAME,NEXU,Solar fotovoltaica
FCANAVE,CAÑAVEROSA,GESTE,Solar fotovoltaica
FCANES,FCANES,NEXU,Solar fotovoltaica
FCANILS,FCANILS,NEXU,Solar fotovoltaica
FCAPRI,FCAPRI,HISPE,Solar fotovoltaica
FCARAVA,FCARAVA,CEG,Solar fotovoltaica
FCARMON,FCARMON,NEXU,Solar fotovoltaica
FCAROL4,CAROLINAS4,TOTGA,Solar fotovoltaica
FCAROLI,CAROLINAS3,TOTGA,Solar fotovoltaica
FCARRIL,FCARRIL,NEXU,Solar fotovoltaica
FCARTU,FCATUR,EGLE,Solar fotovoltaica
FCARVAC,CAR,GESTE,Solar fotovoltaica
FCASAQ1,FCASAQ1,EBLCO,Solar fotovoltaica
FCASAQ2,FCASAQ2,EBLCO,Solar fotovoltaica
FCASTJA,FCASTJA,NEXU,Solar fotovoltaica
FCASTOR,CASTOR,HISPE,Solar fotovoltaica
FCASTU,FCASTU,EGLE,Solar fotovoltaica
FCASTUR,FCASTUR,NEXU,Solar fotovoltaica
FCAT,FCAT,REPSB,Solar fotovoltaica
FCBANAL,FCBANAL,NEXU,Solar fotovoltaica
FCELEO,FCELEO,NEXU,Solar fotovoltaica
FCEN121,CENTAURUS,SOLRC,Solar fotovoltaica
FCEP116,FCEP116,SOLRC,Solar fotovoltaica
FCERRAT,FCERRAT,REPSB,Solar fotovoltaica
FCLASA,FCLASA,NEXU,Solar fotovoltaica
FCLMNTE,FCLMNTE,NEXU,Solar fotovoltaica
FCLUGAR,FCLUGAR,NEXU,Solar fotovoltaica
FCLVRON,FCLVRON,NEXU,Solar fotovoltaica
FCMONA1,FCMONA1,NEXU,Solar fotovoltaica
FCNDCLL,FCNDCLL,NEXU,Solar fotovoltaica
FCNTRAS,FCNTRAS,NEXU,Solar fotovoltaica
FCNVIA1,FCNVIA1,NEXU,Solar fotovoltaica
FCNVIA2,FCNVIA2,NEXU,Solar fotovoltaica
FCNVIA3,FCNVIA3,NEXU,Solar fotovoltaica
FCOLLAR,FCOLLAR,NEXU,Solar fotovoltaica
FCOLON,FCOLON,CEG,Solar fotovoltaica
FCONS18,FV CONSTAN,WMARK,Solar fotovoltaica
FCONSTA,PS CONSTAN,WMARK,Solar fotovoltaica
FCONTR1,FCONTR1,EFG,Solar fotovoltaica
FCONTR2,FCONTR2,EFG,Solar fotovoltaica
FCONV61,FCONV61,NEXU,Solar fotovoltaica
FCORELA,FCORELA,GESTE,Solar fotovoltaica
FCORESE,FCORESE,NEXU,Solar fotovoltaica
FCORIA,FCORIA,NEXU,Solar fotovoltaica
FCORONA,FCORONA,CEG,Solar fotovoltaica
FCORVER,FCORVER,NEXU,Solar fotovoltaica
FCORVRA,FCORVRA,NEXU,Solar fotovoltaica
FCOSENT,COSENT,HISPE,Solar fotovoltaica
FCOTILL,FCOTILL,NEXU,Solar fotovoltaica
FCPILLA,FCPILLA,NEXU,Solar fotovoltaica
FCRASCA,FCRASCA,NEXU,Solar fotovoltaica
FCRJOS1,FCRJOS1,NEXU,Solar fotovoltaica
FCRJOS2,FCRJOS2,NEXU,Solar fotovoltaica
FCRMON1,FCRMON1,NEXU,Solar fotovoltaica
FCRMON2,FCRMON2,NEXU,Solar fotovoltaica
FCRMON3,FCRMON3,NEXU,Solar fotovoltaica
FCRONOS,CRONO,GESTE,Solar fotovoltaica
FCRTBAL,FCRTBAL,NEXU,Solar fotovoltaica
FCRUZ,FCRUZ,CEG,Solar fotovoltaica
FCRYLUS,FCRYLUS,NEXU,Solar fotovoltaica
FCSERAS,FCSERAS,NEXU,Solar fotovoltaica
FCSTEL1,FCSTEL1,NEXU,Solar fotovoltaica
FCSTEL2,FCASTEL2,NEXU,Solar fotovoltaica
FCTANEA,FCTANEA,NEXU,Solar fotovoltaica
FCTLINA,FCTLINA,NEXU,Solar fotovoltaica
FCTRAV2,FCTRAV2,NEXU,Solar fotovoltaica
FCTUERA,FCTUERA,NEXU,Solar fotovoltaica
FCUARTI,FCUARTI,CEG,Solar fotovoltaica
FCUBI,FCUBI,CEG,Solar fotovoltaica
FCUBLA,FCUBLA,NEXU,Solar fotovoltaica
FCVALDE,VALDES,HISPE,Solar fotovoltaica
FDAGAC,FDAGAC,GAC,Solar fotovoltaica
FDAJOZ,FDAJOZ,CEG,Solar fotovoltaica
FDBGAC,FDBGAC,GAC,Solar fotovoltaica
FDCGAC,FDCGAC,GAC,Solar fotovoltaica
FDDGAC,FDDGAC,GAC,Solar fotovoltaica
FDEL108,FDEL108,SOLRC,Solar fotovoltaica
FDELMAI,FDELMAI,SOLRC,Solar fotovoltaica
FDESENE,FDESENE,NEXU,Solar fotovoltaica
FDHSLA,FDHSLA,NEXU,Solar fotovoltaica
FDIO153,FDIO153,SOLRC,Solar fotovoltaica
FDRACOS,DRACO,GESTE,Solar fotovoltaica
FDREU04,CLIMASTER,DREUA,Solar fotovoltaica
FDREU05,ZARZA,DREUA,Solar fotovoltaica
FDREU06,GT PILAR,DREUA,Solar fotovoltaica
FDREU07,FV BANY 16,DREUA,Solar fotovoltaica
FDREU08,FV BELINCH,DREUA,Solar fotovoltaica
FDREU10,FV CHINEST,DREUA,Solar fotovoltaica
FDREU11,FV VILANOV,DREUA,Solar fotovoltaica
FDREU12,FV CATALA,DREUA,Solar fotovoltaica
FDREU13,ALMANSA1,DREUA,Solar fotovoltaica
FDREU14,ALMANSA2,DREUA,Solar fotovoltaica
FDREU15,CONSELL,DREUA,Solar fotovoltaica
FDREU17,TOBOSO 1,DREUA,Solar fotovoltaica
FDREU18,MARCHAL,DREUA,Solar fotovoltaica
FDREU19,HORCAJO,DREUA,Solar fotovoltaica
FDREU20,TERVALIS,DREUA,Solar fotovoltaica
FDREU21,FVBENEIXA,DREUA,Solar fotovoltaica
FDREU22,FVCALERA,DREUA,Solar fotovoltaica
FDREU23,TOBOSO 2,DREUA,Solar fotovoltaica
FDREUA,FDREUA,DREUA,Solar fotovoltaica
FDRODR2,FD2,GESTE,Solar fotovoltaica
FDRODRI,RODRIG,GESTE,Solar fotovoltaica
FDSERTO,DESERTO,GESTE,Solar fotovoltaica
FDULC5,FDULC5,NEXU,Solar fotovoltaica
FDULC6,FDULC6,NEXU,Solar fotovoltaica
FDUNAS,FDUNAS,EGLE,Solar fotovoltaica
FEBISU,FEBISU,EGLE,Solar fotovoltaica
FEBLCO4,FEBLCO4,EBLCO,Solar fotovoltaica
FECC01,FECC01,FECII,Comercializadores mercado libre
FECOEX1,FECOEX1,NEXU,Solar fotovoltaica
FECOEX2,FECOEX2,NEXU,Solar fotovoltaica
FECOEX3,FECOEX3,NEXU,Solar fotovoltaica
FEDAC04,FEDAUP,FEDA,Exportación Andorra
FEDRERO,FEDRERO,CEG,Solar fotovoltaica
FEEDC01,FEEDC,FEED,Comercializadores mercado libre
FEGA,FEGA,EGLE,Solar fotovoltaica
FEGPE1,FEGPE1,ECYR,Solar fotovoltaica
FEGPE2,FREGP2,ECYR,Solar fotovoltaica
FEGPE3,FEGPE3,ECYR,Solar fotovoltaica
FEGPE4,FEGPE4,ECYR,Solar fotovoltaica
FEGPE5,FEGPE5,ECYR,Solar fotovoltaica
FEGPE6,FEGPE6,ECYR,Solar fotovoltaica
FEGPEM,FV100EGHAB,ECYR,Solar fotovoltaica
FEGPEV,FEGPEV,ECYR,Solar fotovoltaica
FEHIBHV,FEHIBHV,IBGES,Híbrida renovable
FEKIOLA,FEKIOLA,NEXU,Solar fotovoltaica
FELCAMP,FELCAMP,LAUEI,Solar fotovoltaica
FELLOM,FELLOM,EGLE,Solar fotovoltaica
FELTOLL,FELTOLL,LAUEI,Solar fotovoltaica
FEMCC01,MUSEROS,FEMCV,Comercializadores mercado libre
FENC01,FEN,FEN,Comercializadores mercado libre
FENEC01,FENERGAS,FENER,Comercializadores mercado libre
FENPCX1,PPC,FEN,Porfolio
FENPVX1,PORFOLIOV,FEN,Porfolio
FERGON,FERGON,NEXU,Solar fotovoltaica
FERNOSO,FERNOSO,NEXU,Solar fotovoltaica
FERUELA,FERUELA,NEXU,Solar fotovoltaica
FESCALN,SCALN,GESTE,Solar fotovoltaica
FESPARR,FESPARR,ECYR,Solar fotovoltaica
FESTACN,FESTACN,NEXU,Solar fotovoltaica
FETXUKO,FETXUKO,NEXU,Solar fotovoltaica
FFALAMO,FFALAMO,NEXU,Solar fotovoltaica
FFALBI2,FFALBI2,SERVC,Solar fotovoltaica
FFATFW,FFATFW,GNRA,Solar fotovoltaica
FFCYEES,FFCYE,CYE,Solar fotovoltaica
FFEDE,FFEDE,NEXU,Solar fotovoltaica
FFEGED,FFEGED,EGED,Solar fotovoltaica
FFENER,FFENER,EGLE,Solar fotovoltaica
FFERNAN,FFERNAN,NEXU,Solar fotovoltaica
FFFGASN,FFFGASN,GNCO,Solar fotovoltaica
FFGAC,FFGAC,GAC,Solar fotovoltaica
FFGASN,FFGASN,GNCO,Solar fotovoltaica
FFIBGES,FFIBGES,IBGES,Solar fotovoltaica
FFINID,FFINID,EGLE,Solar fotovoltaica
FFIRSTW,FIRST WAVE,EBLCO,Solar fotovoltaica
FFNEXU,FFNEXU,NEXU,Solar fotovoltaica
FFRAGA1,FFRAGA1,NEXU,Solar fotovoltaica
FFRSPRA,FFRSPRA,RSPRA,Solar fotovoltaica
FFUEPSP,FFUEPSP,SOLRC,Solar fotovoltaica
FFUNDI,FFUNDI,EGLE,Solar fotovoltaica
FFV124,FFV124,EGLE,Solar fotovoltaica
FFV154,FFV154,EGLE,Solar fotovoltaica
FFV155,FFV155,EGLE,Solar fotovoltaica
FFWMARK,FFWMARK,WMARK,Solar fotovoltaica
FFYECL1,FFYECL1,NEXU,Solar fotovoltaica
FFYECL2,FFYECL2,NEXU,Solar fotovoltaica
FFYECL3,FFYECL3,NEXU,Solar fotovoltaica
FGALERA,FGALERA,NEXU,Solar fotovoltaica
FGAMMAI,FGAMMAI,SOLRC,Solar fotovoltaica
FGAMNSA,FGAMNSA,NEXU,Solar fotovoltaica
FGAMONL,GMNL,GESTE,Solar fotovoltaica
FGASN2U,FGASN2U,GNCO,Solar fotovoltaica
FGASNE2,FGASNE2,GNCO,Solar fotovoltaica
FGAZ1,FGAZ1,HISPE,Solar fotovoltaica
FGAZ2,GAZ2,HISPE,Solar fotovoltaica
FGEFG,FGEFG,EFG,Solar fotovoltaica
FGENIA,FGENIA,EGLE,Solar fotovoltaica
FGENIL1,GNL1,GESTE,Solar fotovoltaica
FGENIL2,GEL2,GESTE,Solar fotovoltaica
FGFBAR,FGFBAR,EGLE,Solar fotovoltaica
FGIL1,FGIL1,CEG,Solar fotovoltaica
FGILENA,GILLENA,GESTE,Solar fotovoltaica
FGMNRJ,FGMNRJ,NEXU,Solar fotovoltaica
FGORBEI,FGORBEI,NEXU,Solar fotovoltaica
FGRIJO3,FGRIJO3,NEXU,Solar fotovoltaica
FGROMAN,FGROMAN,NEXU,Solar fotovoltaica
FGST135,TORRE,GESTE,Solar fotovoltaica
FGST136,TORREC,GESTE,Solar fotovoltaica
FGST137,FGST137,GESTE,Solar fotovoltaica
FGST138,FGST138,GESTE,Solar fotovoltaica
FGST139,FGST139,GESTE,Solar fotovoltaica
FGST140,FGST140,GESTE,Solar fotovoltaica
FGST141,FGST141,GESTE,Solar fotovoltaica
FGST142,FGST142,GESTE,Solar fotovoltaica
FGST143,FGST143,GESTE,Solar fotovoltaica
FGST144,ALTOM,GESTE,Solar fotovoltaica
FGST145,FGST145,GESTE,Solar fotovoltaica
FGST150,FGST150,GESTE,Solar fotovoltaica
FGST151,FGST151,GESTE,Solar fotovoltaica
FGST152,FGST152,GESTE,Solar fotovoltaica
FGST153,FGST153,GESTE,Solar fotovoltaica
FGST154,FGST154,GESTE,Solar fotovoltaica
FGST155,FGST155,GESTE,Solar fotovoltaica
FGST156,FGST156,GESTE,Solar fotovoltaica
FGST157,FGST157,GESTE,Solar fotovoltaica
FGST158,FGST158,GESTE,Solar fotovoltaica
FGST159,FGST159,GESTE,Solar fotovoltaica
FGST160,FGST160,GESTE,Solar fotovoltaica
FGST161,FGST161,GESTE,Solar fotovoltaica
FGST162,FGST162,GESTE,Solar fotovoltaica
FGST167,FGST167,GESTE,Solar fotovoltaica
FGST168,FGST168,GESTE,Solar fotovoltaica
FGST169,FGST169,GESTE,Solar fotovoltaica
FGST170,FGST170,GESTE,Solar fotovoltaica
FGST171,FGST171,GESTE,Solar fotovoltaica
FGST176,FGST176,GESTE,Solar fotovoltaica
FGST177,FGST177,GESTE,Solar fotovoltaica
FGST178,FGST178,GESTE,Solar fotovoltaica
FGST179,FGST179,GESTE,Solar fotovoltaica
FGST180,FGST180,GESTE,Solar fotovoltaica
FGST181,FGST181,GESTE,Solar fotovoltaica
FGST183,FGST183,GESTE,Solar fotovoltaica
FGST184,FGST184,GESTE,Solar fotovoltaica
FGST185,FGST185,GESTE,Solar fotovoltaica
FGST186,FGST186,GESTE,Solar fotovoltaica
FGST187,FGST187,GESTE,Solar fotovoltaica
FGST189,FGST189,GESTE,Solar fotovoltaica
FGST193,FGST193,GESTE,Solar fotovoltaica
FGST194,FGST194,GESTE,Solar fotovoltaica
FGST196,FGST196,GESTE,Solar fotovoltaica
FGST197,FGST197,GESTE,Solar fotovoltaica
FGST199,FGST199,GESTE,Solar fotovoltaica
FGST204,FGST204,GESTE,Solar fotovoltaica
FGST205,FGST205,GESTE,Solar fotovoltaica
FGST206,FGST206,GESTE,Solar fotovoltaica
FGST210,FGST210,GESTE,Solar fotovoltaica
FGST211,FGST211,GESTE,Solar fotovoltaica
FGST212,FGST212,GESTE,Solar fotovoltaica
FGST213,FGST213,GESTE,Solar fotovoltaica
FGST214,FGST214,GESTE,Solar fotovoltaica
FGST215,FGST215,GESTE,Solar fotovoltaica
FGST216,FGST216,GESTE,Solar fotovoltaica
FGST217,FGST217,GESTE,Solar fotovoltaica
FGST218,FGST218,GESTE,Solar fotovoltaica
FGST219,FGST219,GESTE,Solar fotovoltaica
FGST220,FGST220,GESTE,Solar fotovoltaica
FGST221,FGST221,GESTE,Solar fotovoltaica
FGST222,FGST222,GESTE,Solar fotovoltaica
FGST224,FGST224,GESTE,Solar fotovoltaica
FGST225,FGST225,GESTE,Solar fotovoltaica
FGST226,FGST226,GESTE,Solar fotovoltaica
FGST227,FGST227,GESTE,Solar fotovoltaica
FGST231,FGST231,GESTE,Solar fotovoltaica
FGST232,FGST232,GESTE,Solar fotovoltaica
FGST233,FGST233,GESTE,Solar fotovoltaica
FGST234,FGST234,GESTE,Solar fotovoltaica
FGST235,FGST235,GESTE,Solar fotovoltaica
FGST236,FGST236,GESTE,Solar fotovoltaica
FGST241,FGST241,GESTE,Solar fotovoltaica
FGST242,FGST242,GESTE,Solar fotovoltaica
FGST243,FGST243,GESTE,Solar fotovoltaica
FGST245,FGST246,GESTE,Solar fotovoltaica
FGST246,FGST246,GESTE,Solar fotovoltaica
FGST248,FGST248,GESTE,Solar fotovoltaica
FGST249,FGST249,GESTE,Solar fotovoltaica
FGST250,FGST250,GESTE,Solar fotovoltaica
FGST251,FGST251,GESTE,Solar fotovoltaica
FGST252,FGST252,GESTE,Solar fotovoltaica
FGST253,FGST253,GESTE,Solar fotovoltaica
FGST254,FGST254,GESTE,Solar fotovoltaica
FGST255,FGST255,GESTE,Solar fotovoltaica
FGST256,FGST256,GESTE,Solar fotovoltaica
FGST261,FGST261,GESTE,Solar fotovoltaica
FGST262,FGST262,GESTE,Solar fotovoltaica
